French;English;Hungarian
Excusez-moi madame / monsieur;Excuse me madam / sir;Elnézést hölgyem / uram
Pardon / S'il vous plaît;Excuse me;Bocsánat / Kérem
Je cherche la route Einstein.;I'm looking for Route Einstein.;Az Einstein utcát keresem.
Où est le bâtiment 48, s'il vous plaît ?;Where is building 48?;Hol van a 48-as épület, kérem?
Je suis perdu(e), vous pouvez m'aider ?;I'm lost, could you help me?;Elvesztem, tudna segíteni?
Vous allez tout droit.;Go straight on.;Menjen egyenesen.
Vous continuez tout droit.;Continue straight on.;Folytassa egyenesen.
Vous tournez à droite.;Turn right.;Forduljon jobbra.
Vous prenez la première rue / route à droite.;Take the first street / road on the right.;Forduljon az első utcán jobbra.
Vous tournez à gauche.;Turn left.;Forduljon balra.
Vous prenez la première rue / route à gauche.;Take the first street / road on the left.;Forduljon az első utcán balra.
Au bout de la rue.;At the end of the street.;Az utca végén.
Vous allez jusqu'au bout de la rue.;Go to the end of the street.;Menjen az utca végéig.
Vous passez devant...;Pass by...;Elhalad ... előtt.
Vous traversez.;Cross.;Menjen át / Keljen át.
Près de;Near;Közel
En face de;Opposite;Szemben
Derrière;Behind;Mögött
Devant;In front of;Előtt
À côté de;Next to / Beside;Mellett
Entre;Between;Között
Au coin de la rue;At the street corner;Az utca sarkán
À l'angle;At the corner;A saroknál
Tout près;Very close / Nearby;Nagyon közel
Loin;Far;Messze
De l'autre côté de la rue;Across the street;Az utca túloldalán
À gauche;On the left;Bal oldalon
À droite;On the right;Jobb oldalon
Au nord;To the north;Északra
Au sud;To the south;Délre
À l'est;To the east;Keletre
À l'ouest;To the west;Nyugatra
Continuez jusqu'aux feux;Go up to the traffic lights;Menjen a lámpáig
Au rond-point, prenez la deuxième sortie;At the roundabout, take the second exit;A körforgalomnál hajtson ki a második kijáraton
Suivez les panneaux;Follow the signs;Kövesse a táblákat
Excusez-moi monsieur, je suis perdu.;Excuse me sir, I am lost.;Elnézést uram, eltévedtem.
Je cherche le bâtiment 356.;I am looking for building 356.;A 356-os épületet keresem.
Vous prenez la prochaine route à droite.;Take the next road on the right.;Forduljon a következő utcán jobbra.
Vous continuez tout droit jusqu'à la route Rutherford.;Continue straight on until Rutherford Road.;Menjen egyenesen a Rutherford utcáig.
Ensuite, vous tournez à gauche sur la route Démocrite.;Then, turn left onto Démocrite Road.;Ezután forduljon balra a Démokritosz utcára.
Et c'est loin ?;And is it far?;És messze van?
Non, 5 minutes à pied.;No, 5 minutes on foot.;Nem, 5 perc gyalog.
Merci beaucoup monsieur.;Thank you very much sir.;Nagyon köszönöm, uram.
De rien.;You're welcome.;Szívesen.
Au revoir et bonne journée.;Goodbye and have a nice day.;Viszontlátásra és szép napot.
