French;English;Hungarian
un;one (1);egy
deux;two (2);kettő
trois;three (3);három
quatre;four (4);négy
cinq;five (5);öt
six;six (6);hat
sept;seven (7);hét
huit;eight (8);nyolc
neuf;nine (9);kilenc
dix;ten (10);tíz
onze;eleven (11);tizenegy
douze;twelve (12);tizenkettő
treize;thirteen (13);tizenhárom
quatorze;fourteen (14);tizennégy
quinze;fifteen (15);tizenöt
seize;sixteen (16);tizenhat
dix-sept;seventeen (17);tizenhét
dix-huit;eighteen (18);tizennyolc
dix-neuf;nineteen (19);tizenkilenc
vingt;twenty (20);húsz
