French;Finnish;Hungarian
Saluer;Tervehtiä;Köszönni
Bonjour !;Hyvää päivää!;Jó napot!
Salut !;Moi!;Szia!
Bonsoir !;Hyvää iltaa!;Jó estét!
Bonjour, madame !;Hyvää päivää, rouva!;Jó napot, asszonyom! (lány)
Bonjour, monsieur !;Hyvää päivää, herra!;Jó napot, uram! (fiú)
Bonjour, mademoiselle !;Hyvää päivää, neiti!;Jó napot, kisasszony! (lány)
ça va;Hyvin;Jól
(Comment) ça va ?;Mitä kuuluu?;Hogy vagy?
Très bien, merci.;Oikein hyvin, kiitos.;Nagyon jól, köszönöm.
Et toi ? / Et vous ?;Entä sinä? / Entä te?;És te? / És ön?
Bonne soirée !;Hyvää illanjatkoa!;Szép estét!
Bonne journée !;Hyvää päivänjatkoa!;Szép napot!
Bonne nuit !;Hyvää yötä!;Jó éjszakát!
Merci, à toi aussi !;Kiitos, samoin sulle!;Köszönöm, neked is!
Merci, à vous aussi !;Kiitos, samoin sinulle!;Köszönöm, önnek is!
Au revoir !;Näkemiin!;Viszontlátásra!
À bientôt !;Nähdään pian!;Hamarosan találkozunk!
À la prochaine !;Seuraavaan kertaan!;Legközelebb találkozunk!
À demain !;Nähdään huomenna!;Holnap találkozunk!
À plus / À+;Nähdään!;Majd találkozunk!
Je m'appelle Miia (Hillilä).;Nimeni on Miia (Hillilä).;A nevem Miia (Hillila).
Moi, c'est Miia.;Minä olen Miia.;Én Miia vagyok.
Enchanté !;Hauska tutustua!;Örülök a találkozásnak!
Je m'appelle Juliette.;Nimeni on Juliette.;A nevem Juliette.
Comment tu t'appelles ?;Mikä sinun nimesi on?;Hogy hívnak?
Moi, c'est Paul.;Minä olen Paul.;Én Paul vagyok.
Quel est votre nom ?;Mikä on teidän nimenne?;Mi az ön neve?
Un hôtel / l'hôtel;Hotelli;(egy / a) Szálloda (fiú)
Un ananas / l'ananas;Ananas;(egy / az) Ananász (fiú)
Un café / le café;Kahvi;(egy / a) Kávé (fiú)
Un menu / le menu;Ruokalista;(egy / az) Étlap (fiú)
Un homme / l'homme;Mies;(egy / a) Férfi (fiú)
Une maison / la maison;Talo;(egy / a) Ház (lány)
Une pomme / la pomme;Omena;(egy / az) Alma (lány)
Une limonade / la limonade;Limonadi;(egy / a) Limonádé (lány)
Une carte / la carte;Kartta / kortti;(egy / a) Térkép / kártya (lány)
Une femme / la femme;Nainen;(egy / a) Nő (lány)
Une crème / la crème;Kerma;(egy / a) Krém / tejszín (lány)
Pardon.;Anteeks.;Bocsánat.
Excusez-moi.;Anteeksi.;Elnézést.
Merci beaucoup.;Kiitos paljon.;Köszönöm szépen.
De rien.;Eipä kestä.;Szívesen.
S'il te plaît !;Ole hyvä!;Kérlek!
S'il vous plaît !;Olkaa hyvä!;Kérem!
Je suis;Minä olen;Én vagyok
Tu es;Sinä olet;Te vagy
Il est / elle est;Hän on;Ő van (fiú / lány)
Nous sommes;Me olemme;Mi vagyunk
Vous êtes;Te olette;Ti vagytok / Ön van
Ils sont / elles sont;He ovat;Ők vannak (fiú / lány)
Il est étudiant.;Hän on opiskelija. (mies);Ő egy diák (fiú).
Elle est étudiante.;Hän on opiskelija. (nainen);Ő egy diák (lány).
J'habite à Oulu, en Finlande.;Asun Oulussa, Suomessa.;Oulu-ban lakom, Finnországban.
J'habite à Paris, en France.;Asun Pariisissa, Ranskassa.;Párizsban lakom, Franciaországban.
Quelle est votre nationalité ?;Mikä on kansallisuutenne?;Mi az ön nemzetisége?
Je suis finlandais.;Olen suomalainen.;Finn vagyok (fiú).
Je suis français.;Olen ranskalainen.;Francia vagyok (fiú).
Je suis chinois.;Olen kiinalainen.;Kínai vagyok (fiú).
Je suis russe.;Olen venäläinen.;Orosz vagyok (fiú).
Je suis hongrois.;Olen unkarilainen.;Magyar vagyok (fiú).
