French;Finnish;Hungarian
Bonjour !;Hei!;Szia!
Je m'appelle Sophie.;Minun nimeni on Sophie.;A nevem Sophie.
Je suis canadienne.;Olen kanadalainen (nainen).;Kanadai vagyok (lány).
J'habite à Helsinki.;Asun Helsingissä.;Helsinkiben lakom.
Je suis amie avec Inka et Léa.;Olen Inkankin ja Léan ystävä.;Barátja vagyok Inkának és Léanak.
Je m'appelle Léa.;Minun nimeni on Léa.;A nevem Léa.
Je suis française.;Olen ranskalainen (nainen).;Francia vagyok (lány).
Je m'appelle Inka (Merilä).;Minun nimeni on Inka (Merilä).;A nevem Inka (Merilä).
J'ai 20 ans.;Olen 20-vuotias.;20 éves vagyok.
Je suis la fille de Anna.;Olen Annan tytär.;Anna lánya vagyok.
Je m'appelle Miro Tavaila.;Minun nimeni on Miro Tavaila.;A nevem Miro Tavaila.
Je suis le fils de Jarmo.;Olen Jarmon poika.;Jarmo fia vagyok.
J'ai 22 ans.;Olen 22-vuotias.;22 éves vagyok.
Je suis finlandaise.;Olen suomalainen (nainen).;Finn vagyok (lány).
J'ai 42 ans.;Olen 42-vuotias.;42 éves vagyok.
Je suis mariée avec Jarmo.;Olen naimisissa Jarmon kanssa.;Jarmo felesége vagyok.
Je suis entrepreneur.;Olen yrittäjä.;Vállalkozó vagyok.
Je suis finlandais.;Olen suomalainen (mies).;Finn vagyok (fiú).
J'ai 43 ans.;Olen 43-vuotias.;43 éves vagyok.
Je suis marié avec Anna.;Olen naimisissa Annan kanssa.;Anna férje vagyok.
Je suis étudiante en échange;Olen vaihto-opiskelija (nainen);Cserediák vagyok (lány)
J'étudie la gestion d'entreprise;Opiskelen liiketaloutta;Üzleti gazdaságtant tanulok
dans une résidence étudiante;opiskelija-asuntolassa;diákszálláson
Je lis le blog de mon amie Sophie;Luen ystäväni Sophien blogia;Olvasom a barátnőm, Sophie blogját
J'étudie la technologie sanitaire;Opiskelen terveysalaa;Egészségügyi technológiát tanulok
à Metropolia, un IUP;Metropoliassa, ammattikorkeakoulussa;A Metropoliában, egy főiskolán
Je suis responsable de la communication;Olen viestintäpäällikkö;Kommunikációs vezető vagyok
chez MondEur;MondEur-yrityksessä;A MondEur cégnél
une entreprise internationale de communication;kansainvälinen viestintäyritys;nemzetközi kommunikációs vállalat
Je m'appelle Paszkal.;Minun nimeni on Paszkal.;A nevem Paszkal.
Je suis hongrois.;Olen unkarilainen (mies).;Magyar vagyok (fiú).
J'ai 21 ans.;Olen 21-vuotias.;21 éves vagyok.
J'habite à Saint-Genis-Pouilly en France.;Asun Saint-Genis-Pouillyssa, Ranskassa.;Saint-Genis-Pouillyban élek, Franciaországban.
Je travaille au CERN.;Työskentelen CERNissä.;A CERN-ben dolgozom.
J'étudie la physique à l'Université de Tampere.;Opiskelen fysiikkaa Tampereen yliopistossa.;Fizikát tanulok a Tamperei Egyetemen.
