French;Finnish;Hungarian
à bientôt; nähdään pian, pikaisiin näkemisiin; hamarosan találkozunk
à ce soir; nähdään illalla; este találkozunk
aller; voida, mennä; menni, tudni
aujourd'hui; tänään; ma
belge (m. / f.); belgialainen (mies / nainen); belga (fiú / lány)
bien; hyvin; jól
bise (f.); suukko, suudelma, pusu; puszi, csók
ça fait longtemps; siitä on pitkä aika / kauan; rég találkoztunk
collègue (m.); työkaveri, kollega; munkatárs, kolléga
communication (f.); viestintä; kommunikáció
dans; -ssa, -ssä; -ban, -ben
déplacement (m.); työmatka; üzleti út
musique;musiikki;zene
cuisine;keittiö;konyha
président;presidentti;elnök (mies/fiú)
international;kansainvälinen;nemzetközi
restaurant;ravintola;étterem
communication;viestintä;kommunikáció
baguette;patonki;bagett
croissant;voisarvi;croissant
café;kahvi;kávé
grand;suuri;nagy
bon;hyvä;jó
toi;sinä;te
Brie;Brie-juusto;Brie sajt
chat;kissa;macska (mies/fiú)
oui;kyllä;igen
quand;milloin;mikort
devant; edessä; előtt
directeur export; vientijohtaja; exportigazgató (fiú)
en déplacement; työmatkalla; üzleti úton
enchanté (-e); hauska tutustua; örvendek
entreprise (f.); yritys; vállalat
et; ja, entä; és
êtes (être*); olette (olla); vagytok (lenni)
export (m.); ulkomaan kauppa, vienti-; export, külkereskedelem
finlandais (-e); suomalainen (mies / nainen); finn (fiú / lány)
français (-e); ranskalainen (mies / nainen); francia (fiú / lány)
habiter (I); asua; lakni
il / elle; hän; ő (fiú / lány)
international (-e); kansainvälinen; nemzetközi
je, moi; minä; én
machine à café (f.); kahviautomaatti; kávéautomata
merci; kiitos; köszönöm
moment (m.); hetki; pillanat
nous; me; mi
présenter (I); esitellä; bemutatni
rencontrer (I); tavata; találkozni
rendez-vous (m.); tapaaminen; találkozó
responsable; vastuullinen, vastaava; felelős
responsable de la communication (m. / f.); viestintävastaava; kommunikációs vezető (fiú / lány)
sommes (être*); olemme (olla); vagyunk (lenni)
suis (être*); olen (olla); vagyok (lenni)
travailler (I); työskennellä; dolgozni
une entreprise internationale; kansainvälinen yritys; nemzetközi vállalat
voici; tässä on; íme
vous; te; ti
artisanat (m.); käsityö, kotiteollisuus; kézművesség, háziipar
aussi; myös; is, szintén
avec; kanssa; -val, -vel
boutique (f.); kauppa, putiikki; bolt, butik
entrepreneur (m.); yrittäjä; vállalkozó (fiú)
femme (f.); vaimo; feleség (lány)
Finlande (f.); Suomi; Finnország
français (m.); ranskan kieli; francia nyelv
ici; täällä; itt
importer (I); tuoda maahan; importálni
intéressant (-e); mielenkiintoinen; érdekes
mari (m.); aviomies; férj (fiú)
Maroc (m.); Marokko; Marokkó
marocain (-e); marokkolainen (mies / nainen); marokkói (fiú / lány)
non; ei; nem
parler (I); puhua; beszélni
peu (m.); vähän; kevés
pour; jotakin varten; számára, -ért
produit alimentaire (m.); elintarviketuote; élelmiszertermék
restaurant (m.); ravintola; étterem
sa (f.); hänen (feminiini); az ő (lány)
son (m.); hänen (maskuliini); az ő (fiú)
travail (m.); työ; munka
très; todella, erittäin; nagyon
une boutique d'artisanat marocain; marokkolainen käsityökauppa; marokkói kézműves bolt
venir de; olla kotoisin jostakin; származni valahonnan
