French;Finnish;Hungarian
un pharmacien, une pharmacienne;apteekkari;gyógyszerész (fiú / lány)
un / une architecte;arkkitehti;építész (fiú / lány)
un avocat, une avocate;asianajaja;ügyvéd (fiú / lány)
un / une vétérinaire;eläinlääkäri;állatorvos (fiú / lány)
un / une dentiste;hammaslääkäri;fogorvos (fiú / lány)
un ingénieur, une ingénieure;insinööri;mérnök (fiú / lány)
un / une technicien informatique;IT-tukihenkilö;informatikai technikus (fiú / lány)
un directeur, une directrice;johtaja;igazgató (fiú / lány)
un écrivain, une écrivaine;kirjailija;író (fiú / lány)
un chanteur, une chanteuse;laulaja;énekes (fiú / lány)
un boulanger, une boulangère;leipuri;pék (fiú / lány)
un / une médecin;läkäri;orvos (fiú)
un agriculteur, une agricultrice;maanviljelijä;földműves (fiú / lány)
un vendeur, une vendeuse;myyjä;eladó (fiú / lány)
un acteur, une actrice;näyttelijä;színész (fiú / lány)
un / une professeur;opettaja;tanár (fiú / lány)
un / une psychologue;psykologi;pszichológus (fiú / lány)
un infirmier, une infirmière;sairaanhoitaja;ápoló (fiú / lány)
un serveur, une serveuse;tarjoilija;pincér (fiú / lány)
