French;Finnish;Hungarian
Tu parles très bien français !;Sinä puhut todella hyvin ranskaa!;Nagyon jól beszélsz franciául!
Je ne parle pas très bien le finnois.;En puhu kovin hyvin suomea.;Nem beszélek túl jól finnül.
la France;Ranska;Franciaország
la Finlande;Suomi;Finnország
la Suède;Ruotsi;Svédország
l'Angleterre;Englanti;Anglia
la Chine;Kiina;Kína
l'Espagne;Espanja;Spanyolország
l'Allemagne;Saksa;Németország
le français;ranska (kieli);francia (nyelv)
le finnois;suomi (kieli);finn (nyelv)
le finlandais;suomalainen (mies);finn (fiú)
le suédois;ruotsalainen (kieli);svéd (nyelv)
le chinois;kiinalainen (kieli);kínai (nyelv)
l'espagnol;espanjalainen (kieli);spanyol (nyelv)
la Norvège;Norja;Norvégia
le norvég;norja (kieli);norvég (nyelv)
le Danemark;Tanska;Dánia
le danois;tanska (kieli);dán (nyelv)
l'anglais;englanti (kieli);angol (nyelv)
l'allemand;saksa (kieli);német (nyelv)
l'Estonie;Viro;Észtország
l'estonien;viro (kieli);észt (nyelv)
la Suisse;Sveitsi;Svájc
le suisse;sveitsi (kieli);svájci (nyelv)
la Grèce;Kreikka;Görögország
le grec;kreikka (kieli);görög (nyelv)
