French;Finnish;Hungarian
Je ne parle pas très bien le français.;En puhu kovin hyvin ranskaa.;Nem beszélek túl jól franciául.
Madame Merilä n'est pas en Finlande.;Rouva Merilä ei ole Suomessa.;Merilä asszony nincs Finnországban.
Elle n'est pas à Bruxelles ?;Eikö hän ole Brysselissä?;Nincs Brüsszelben?
Tu n'étudies pas la communication ?;Etkö opiskele viestintää?;Nem kommunikációt tanulsz?
Vous ne parlez pas anglais ?;Ettekö puhu englantia?;Nem beszélnek angolul?
Ils ne s'appellent pas Inka et Miro.;Heidän nimensä eivät ole Inka ja Miro.;Nem Inka és Miro a nevük.
Je ne suis pas dans la salle 16.;En ole huoneessa 16.;Nem vagyok a 16-os teremben.
je;minä;én
tu;sinä;te
il;hän (mies);ő (fiú)
elle;hän (nainen);ő (lány)
nous;me;mi
vous;te;ti
ils;he (miehet tai sekaryhmä);ők (fiúk vagy vegyes)
elles;he (naiset);ők (lányok)
MOI;minä (painotusmuoto);én (hangsúlyos)
TOI;sinä (painotusmuoto);te (hangsúlyos)
LUI;hän (mies, painotusmuoto);ő (fiú, hangsúlyos)
ELLE;hän (nainen, painotusmuoto);ő (lány, hangsúlyos)
NOUS;me (painotusmuoto);mi (hangsúlyos)
VOUS;te (painotusmuoto);ti (hangsúlyos)
EUX;he (miehet, painotusmuoto);ők (fiúk, hangsúlyos)
ELLES;he (naiset, painotusmuoto);ők (lányok, hangsúlyos)
Bonjour, je suis Inka. ; Hei, olen Inka. ; Szia, Inka vagyok.
Et toi ? ; Entä sinä? ; És te?
Moi, c'est Sophie. ; Minä olen Sophie. ; Én Sophie vagyok.
Tu es finlandaise ? ; Oletko suomalainen (nainen)? ; Finn (lány) vagy?
Oui. ; Kyllä. ; Igen.
Et toi, française ? ; Entä sinä, oletko ranskalainen (nainen)? ; És te, francia (lány) vagy?
Toi, tu es bien sympa ! ; Sinä olet tosi mukava! ; Te nagyon kedves vagy!
Voici Jarmo. ; Tässä on Jarmo. ; Itt van Jarmo.
Lui aussi, il est à Bruxelles pour le travail. ; Hänkin (mies) on Brysselissä työn takia. ; Ő (fiú) is Brüsszelben van munkából.
Voilà deux places pour nous. ; Tässä on kaksi paikkaa meille. ; Itt van két hely nekünk.
Mais oui, et avec toi je parle français. ; Totta kai, ja kanssasi puhun ranskaa. ; Persze, és veled franciául beszélek.
"Formule 1", qu'est-ce que c'est ? ; "Formule 1", mikä se on? ; "Formule 1", mi az?
C'est une chaîne d'hôtels. ; Se on hotelliketju. ; Ez egy szállodalánc.
Ce monsieur, qui est-ce ? ; Kuka tämä herra on? ; Ki ez az úr?
C'est le directeur export, monsieur Lambert. ; Hän on vientijohtaja, herra Lambert. ; Ő az exportigazgató, Lambert úr.
Qui sont ces jeunes-là ? ; Keitä nuo nuoret ovat? ; Kik azok a fiatalok ott?
Ce sont Inka et Miro, les enfants de madame Merilä. ; He ovat Inka ja Miro, rouva Merilän lapset. ; Ők Inka és Miro, Merilä asszony gyerekei.
Nokia est une entreprise japonaise ? ; Onko Nokia japanilainen yritys? ; A Nokia japán cég?
Non, elle est finlandaise. ; Ei, se on suomalainen. ; Nem, finn cég.
Voici monsieur Lambert.; Tässä on herra Lambert. ; Itt van Lambert úr.
Il est directeur export. ; Hän on vientijohtaja. ; Ő az exportigazgató.
Où est madame Merilä ? ; Missä on rouva Merilä? ; Hol van Merilä asszony?
Elle est à Bruxelles en déplacement. ; Hän on Brysselissä työmatkalla. ; Ő Brüsszelben van üzleti úton.
