French;Finnish;Hungarian
qui (est-ce qui);kuka;ki (fiú / lány)
qu'est-ce qui;mikä;mi
Qui (est-ce qui veut) venir avec nous ?;Kuka haluaa tulla kanssamme?;Ki akar velünk jönni?
Qu'est-ce qui fait ce bruit ?;Mikä tekee tuon äänen?;Mi csinálja ezt a zajt?
qui est-ce que;kenet;kit (fiú / lány)
que, qu'est-ce que, quoi;mitä;mit
Qui invitez-vous ?;Ketä sinä kutsut?;Kit hívsz meg?
Qui est-ce que vous invitez ?;Ketä te kutsutte?;Kit hívtok meg?
Que faites-vous ?;Mitä teette?;Mit csináltok?
Qu'est-ce que vous faites ?;Mitä te teette?;Ti mit csináltok?
Vous faites quoi ?;Mitä sinä teet?;Mit csinálsz?
À qui parlez-vous ?;Kenelle puhutte?;Kivel beszéltek?
De qui parlez-vous ?;Kenestä puhutte?;Kiről beszéltek?
Avec qui partez-vous ?;Kenen kanssa lähdette?;Kivel mentek el?
À quoi pensez-vous ?;Mitä ajattelette?;Mire gondoltok?
De quoi avez-vous besoin ?;Mitä tarvitsette?;Mire van szükségetek?
Avec quoi écrivez-vous ?;Millä kirjoitatte?;Mivel írtok?
quel;mikä / mikä (mask.);melyik (fiú)
quelle;mikä / mikä (fem.);melyik (lány)
quels;mitkä (mask.);melyek (fiú)
quelles;mitkä (fem.);melyek (lány)
Quel acteur préférez-vous ?;Mistä näyttelijästä pidätte eniten?;Melyik színészt kedvelitek legjobban?
Dans quel film ?;Missä elokuvassa?;Melyik filmben?
Quelle actrice préférez-vous ?;Mistä naisnäyttelijästä pidätte eniten?;Melyik színésznőt kedvelitek legjobban?
Quel est votre numéro de téléphone ?;Mikä on puhelinnumeronne?;Mi a telefonszámod?
Quelle est votre adresse ?;Mikä on osoitteenne?;Mi a címetek?
Quels sont vos films préférés ?;Mitkä ovat suosikkielokuvanne?;Melyek a kedvenc filmjeitek?
où;missä, mihin;hol, hová
d'où;mistä;honnan
jusqu'où;mihin asti;meddig
par où;mitä kautta;merre / milyen úton
chez qui;kenen luo;kihez
à côté de quoi;minkä vieressä;mi mellett
Où habitez-vous ?;Missä asutte?;Hol laktok?
Où allez-vous ?;Mihin menette?;Hová mentek?
D'où venez-vous ?;Mistä tulette?;Honnan jöttök?
Jusqu'à où va cette ligne de métro ?;Mihin asti tämä metrolinja menee?;Meddig megy ez a metróvonal?
Par où passez-vous ?;Mitä kautta kuljette?;Merre mentek?
Chez qui allez-vous ?;Kenen luokse menette?;Kihez mentek?
À côté de quoi habitez-vous ?;Minkä vieressä asutte?;Mi mellett laktok?
Quelle est la distance entre Paris et Lyon ?;Mikä on etäisyys Pariisin ja Lyonin välillä?;Mekkora a távolság Párizs és Lyon között?
Il y a combien de kilomètres de Paris à Lyon ?;Kuinka monta kilometriä on Pariisista Lyoniin?;Hány kilométer van Párizs és Lyon között?
quand / à quel moment;milloin;mikor
quel jour;minä päivänä;melyik napon
quel mois;missä kuussa;melyik hónapban
à quelle heure;moneltako;hány órakor
en quelle année;minä vuonna;melyik évben
en quelle saison;minä vuodenaikana;melyik évszakban
Il part en vacances quand ?;Milloin hän lähtee lomalle?;Mikor megy nyaralni?
Ça fait / Il y a combien de temps que vous habitez ici ?;Kuinka kauan olette asuneet täällä?;Mióta laktok itt?
Vous habitez ici depuis combien de temps ?;Kuinka kauan olet asunut täällä?;Mióta éltek itt?
Combien de temps avez-vous vécu en Australie ?;Kuinka kauan asuitte Australiassa?;Meddig laktatok Ausztráliában?
pourquoi;miksi;miért
comment;miten;hogyan
combien;kuinka paljon;mennyi
Pourquoi étudiez-vous le français ?;Miksi opiskelette ranskaa?;Miért tanultok franciául?
Comment allez-vous ?;Miten voitte?;Hogy vagytok?
Comment dit-on en français... ?;Miten sanotaan ranskaksi... ?;Hogy mondják franciául... ?
Comment vous appelez-vous ?;Mikä on nimenne?;Hogy hívnak benneteket?
Comment est votre appartement ?;Millainen on asuntonne?;Milyen a lakásotok?
Combien coûte ce sac ?;Kuinka paljon tämä laukku maksaa?;Mennyibe kerül ez a táska?
Combien de sucre met-on ?;Kuinka paljon sokeria laitetaan?;Mennyi cukrot teszünk bele?
Combien de personnes y a-t-il dans notre groupe ?;Kuinka monta henkilöä on ryhmässämme?;Hány ember van a csoportunkban?
