French;Finnish;Hungarian
aller;mennä;menni
je vais;minä menen;én megyek
tu vas;sinä menet;te mész
il va;hän (mies) menee;ő (fiú) megy
elle va;hän (nainen) menee;ő (lány) megy
nous allons;me menemme;mi megyünk
vous allez;te menette;ti mentek / Ön megy
ils vont;he (miehet) menevät;ők (fiúk) mennek
elles vont;he (naiset) menevät;ők (lányok) mennek
venir;tulla;jönni
je viens;minä tulen;én jövök
tu viens;sinä tulet;te jössz
il vient;hän (mies) tulee;ő (fiú) jön
elle vient;hän (nainen) tulee;ő (lány) jön
nous venons;me tulemme;mi jövünk
vous venez;te tulette;ti jöttök / Ön jön
ils viennent;he (miehet) tulevat;ők (fiúk) jönnek
elles viennent;he (naiset) tulevat;ők (lányok) jönnek
habiter;asua;lakni
j'habite;minä asun;én lakom
tu habites;sinä asut;te laksz
il habite;hän (mies) asuu;ő (fiú) lakik
elle habite;hän (nainen) asuu;ő (lány) lakik
nous habitons;me asumme;mi lakunk
vous habitez;te asutte;ti laktok / Ön lakik
ils habitent;he (miehet) asuvat;ők (fiúk) laknak
elles habitent;he (naiset) asuvat;ők (lányok) laknak
acheter;ostaa;venni
j'achète;minä ostan;én veszek
tu achètes;sinä ostat;te veszel
il achète;hän (mies) ostaa;ő (fiú) vesz
elle achète;hän (nainen) ostaa;ő (lány) vesz
nous achetons;me ostamme;mi veszünk
vous achetez;te ostatte;ti vesztek / Ön vesz
ils achètent;he (miehet) ostavat;ők (fiúk) vesznek
elles achètent;he (naiset) ostavat;ők (lányok) vesznek
ouvrir;avata;kinyitni
j'ouvre;minä avaan;én kinyitom
tu ouvres;sinä avaat;te kinyitod
il ouvre;hän (mies) avaa;ő (fiú) kinyitja
elle ouvre;hän (nainen) avaa;ő (lány) kinyitja
nous ouvrons;me avaamme;mi kinyitjuk
vous ouvrez;te avaatte;ti kinyitjátok / Ön kinyitja
ils ouvrent;he (miehet) avaavat;ők (fiúk) kinyitják
elles ouvrent;he (naiset) avaavat;ők (lányok) kinyitják
avoir;olla, omistaa;birtokolni
j'ai;minulla on;nekem van
tu as;sinulla on;neked van
il a;hänellä (mies) on;neki (fiú) van
elle a;hänellä (nainen) on;neki (lány) van
nous avons;meillä on;nekünk van
vous avez;teillä on;nektek van / Önnek van
ils ont;heillä (miehet) on;nekik (fiúk) van
elles ont;heillä (naiset) on;nekik (lányok) van
être;olla;lenni
je suis;minä olen;én vagyok
tu es;sinä olet;te vagy
il est;hän (mies) on;ő (fiú) van
elle est;hän (nainen) on;ő (lány) van
nous sommes;me olemme;mi vagyunk
vous êtes;te olette;ti vagytok / Ön van
ils sont;he (miehet) ovat;ők (fiúk) vannak
elles sont;he (naiset) ovat;ők (lányok) vannak
