French;Finnish;Hungarian
discuter;keskustella, väitellä;beszélgetni, vitatkozni
je discute;minä keskustelen;én beszélgetek
tu discutes;sinä keskustelet;te beszélgetsz
il discute;hän (mies) keskustelee;ő (fiú) beszélget
elle discute;hän (nainen) keskustelee;ő (lány) beszélget
nous discutons;me keskustelemme;mi beszélgetünk
vous discutez;te keskustelette;ti beszélgettek / Ön beszélget
ils discutent;he (miehet) keskustelevat;ők (fiúk) beszélgetnek
elles discutent;he (naiset) keskustelevat;ők (lányok) beszélgetnek
entrer;astua sisään, tulla sisään;belépni, bemenni
j'entre;minä astun sisään;én belépek
tu entres;sinä astut sisään;te belépsz
il entre;hän (mies) astuu sisään;ő (fiú) belép
elle entre;hän (nainen) astuu sisään;ő (lány) belép
nous entrons;me astumme sisään;mi belépünk
vous entrez;te astutte sisään;ti beléptek / Ön belép
ils entrent;he (miehet) astuvat sisään;ők (fiúk) belépnek
elles entrent;he (naiset) astuvat sisään;ők (lányok) belépnek
frapper;iskä, lyödä, koputtaa;ütni, kopogni
je frappe;minä koputan;én kopogok
tu frappes;sinä koputat;te kopogsz
il frappe;hän (mies) koputtaa;ő (fiú) kopog
elle frappe;hän (nainen) koputtaa;ő (lány) kopog
nous frappons;me koputamme;mi kopogunk
vous frappez;te koputatte;ti kopogtok / Ön kopog
ils frappent;he (miehet) koputtavat;ők (fiúk) kopognak
elles frappent;he (naiset) koputtavat;ők (lányok) kopognak
manger;syödä;enni
je mange;minä syön;én eszem
tu manges;sinä syöt;te eszel
il mange;hän (mies) syö;ő (fiú) eszik
elle mange;hän (nainen) syö;ő (lány) eszik
nous mangeons;me syömme;mi eszünk
vous mangez;te syötte;ti esztek / Ön eszik
ils mangent;he (miehet) syövät;ők (fiúk) esznek
elles mangent;he (naiset) syövät;ők (lányok) esznek
préparer;valmistaa;készíteni
je prépare;minä valmistan;én készítek
tu prépares;sinä valmistat;te készítesz
il prépare;hän (mies) valmistaa;ő (fiú) készít
elle prépare;hän (nainen) valmistaa;ő (lány) készít
nous préparons;me valmistamme;mi készítünk
vous préparez;te valmistatte;ti készítetek / Ön készít
ils préparent;he (miehet) valmistavat;ők (fiúk) készítenek
elles préparent;he (naiset) valmistavat;ők (lányok) készítenek
visiter;vierailla;meglátogatni
je visite;minä vierailen;én meglátogatom
tu visites;sinä vierailet;te meglátogatod
il visite;hän (mies) vierailee;ő (fiú) meglátogat
elle visite;hän (nainen) vierailee;ő (lány) meglátogat
nous visitons;me vierailemme;mi meglátogatunk
vous visitez;te vierailette;ti meglátogattok / Ön meglátogat
ils visitent;he (miehet) vierailevat;ők (fiúk) meglátogatnak
elles visitent;he (naiset) vierailevat;ők (lányok) meglátogatnak
