French;Finnish;Hungarian
à tout à l'heure; nähdään pian; hamarosan találkozunk
application mobile (f.); mobiilisovellus; mobilalkalmazás
après-midi (m.); iltapäivä; délután
avec eux; heidän kanssaan; velük
beau, bel(le); kaunis; szép (fiú / lány)
ça marche; se toimii, tehdään niin; működik, rendben van
coucou; hei, heippa; szia, helló
courage (m.); tsemppiä; kitartás
création (f.); luominen, tekeminen; alkotás
dehors; ulkona; kint, odakint
en ville; kaupungilla; a városban
encore; vielä; még
envoyer (I); lähettää; elküldeni
examen (m.); koe; vizsga
fatigué(e); väsynyt; fáradt (fiú / lány)
frère (m.); veli; fiútestvér (fiú)
il fait (faire); sää on; az idő van (időjárás kifejezés)
j'ai (avoir); minulla on; van nekem
message (m.); viesti; üzenet
on prend un café ?; juodaanko kahvia, mennäänkö kahville; iszunk egy kávét?
on y va; mennään sinne; menjünk oda
page (f.); sivu; oldal
pause (f.); tauko; szünet
petit(e); pieni; kicsi (fiú / lány)
puis; sitten; aztán
qui; joka (tässä); aki
réviser (I); kerrata; ismételni
sept; seitsemän; hét
sur WhatsApp; WhatsAppissa; WhatsAppon
terminer (I); lopettaa; befejezni
adorer (I); rakastaa, jumaloida; imádni
aimer (I); pitää, rakastaa; szeretni
attendre; odottaa; várni
au bord de la mer; meren rannalla; a tengerparton
avoir chaud / froid; olla kuuma / kylmä; melege / fázik
banc (m.); penkki; pad
bord (m.); ranta; part
ça, cela; tämä, tästä; ez, ebből
degré (m.); aste; fok
détester (I); inhota; utálni
dix; kymmenen; tíz
dix-sept; seitsemäntoista; tizenhét
en ce moment; tällä hetkellä; jelenleg
ensemble; yhdessä; együtt
faire la queue; jonottaa; sorban állni
fille (f.); tyttö; lány (lány)
glace; jäätelö; fagylalt
grand-mère (f.); isoäiti, mummo; nagymama (nainen)
il fait beau; ilma on kaunis; szép idő van
il y a; on (jossakin on jotakin); van, létezik
ils vont (aller); he menevät; mennek
j'ai chaud; minulla on kuuma; melegem van
juste à coté; ihan vieressä; közvetlen mellette
kiosque (m.); kioski; kioszk
là-bas; tuolla, siellä; ott, amott
mais; mutta; de
mer (f.); meri; tenger
mon, ma; minun; az én ... (fiú / lány)
on prend (prendre); otetaanko; veszünk?
ou; tai, vai; vagy
par ici; tänne päin; erre felé
parc (m.); puisto; park
parent (m.); vanhempi; szülő
peut-être; ehkä; talán
photo (f.); valokuva; fénykép
pour; jotakin varten; számára
prendre; ottaa, syödä / juoda; venni, fogyasztani
s'il te plaît; ole kiltti; kérlek
savoir; tietää; tudni
se mettre; asettua; leülni / elhelyezkedni
se promener (I); käveleskellä; sétálni
selfie (m.); omakuva, selfie; szelfi
smartphone (m.); älypuhelin; okostelefon
soeur (f.); sisko; lánytestvér (lány)
souvent; usein; gyakran
thé glacé (m.); jäätee; jeges tea
thé (m.); tee; tea
vue (f.); näköala; kilátás
à la table; pöytään; az asztalhoz
agréable; miellyttävä; kellemes
année (f.); vuosi; év
apporter (I); tuoda; hozni
au café du coin; lähikahvila; sarki kávézó
au printemps; keväällä; tavasszal
automne (m.); syksy; ősz
avoir l'air; näyttää joltakin; valahogy kinéz
avoir le temps; olla aikaa; van ideje
boisson (f.); juoma; ital
briller (I); paistaa; sütni, ragyogni
café crème (m.); kermakahvi; tejeskávé
café (m.); kahvi, kahvila; kávé, kávézó
chaque; joka; minden
coin (m.); kulma, nurkka; sarok
collègue (m. / f.); kollega, työkaveri; kolléga (fiú / lány)
comme; niin kuin, kuten; mint
commencer (I); alkaa; elkezdeni
devant; edessä; előtt
dommage; harmi, vahinko; kár
en automne; syksyllä; ősszel
en été; kesällä; nyáron
en famille; perheen kesken; családi körben
espresso (m.); espresso; presszókávé
Et pour vous ?; Entä teille?; És önnek / neked?
été (m.); kesä; nyár
famille (f.); perhe; család
fils (m.); poika; fiú (fiú)
hiver (m.); talvi; tél
Il est 14 heures; Kello on 14; Kettő óra van
il pleut (pleuvoir); sataa vettä; esik az eső
je voudrais (vouloir); haluaisin; szeretnék
leurs; heidän; az ő ...
libre; vapaa; szabad
loin; kaukana; messze
ma fille; tyttäreni; a lányom (lány)
machine à café (f.); kahviautomaatti; kávégép
machine (f.); kone, laite; gép
madame (f.); rouva; asszony (nainen)
marcher (I); toimia; működni
mon fils; poikani; a fiam (fiú)
monsieur (m.); herra; úr (fiú)
pluie (f.); sade; eső
prendre une pause; pitää tauko; szünetet tartani
printemps (m.); kevät; tavasz
qu'est-ce que vous prenez ?; mitä saisi olla?; mit kér?
quand; kun, silloin kun; amikor
quel beau temps; kuinka kaunis sää; milyen szép idő
quel -le; mikä, kuinka; melyik (fiú / lány)
regarder (I); katsoa; nézni
régulièrement; säännöllisesti; rendszeresen
rire; nauraa; nevetni
serveur(euse) (m. / f.); tarjoilija; pincér / pincérnő (fiú / lány)
soleil (m.); aurinko; nap
table (f.); pöytä; asztal
température (f.); lämpötila; hőmérséklet
trop; liian; túl
trouver (I); löytää; találni
venez (venir); tulkaa; gyertek
votre; teidän; az ön / a ti ...
