French;Finnish;Hungarian
Pour proposer un rendez-vous;Tapaamisen ehdottamiseen;Találkozó javaslására
Quand est-ce qu'on peut se voir ?;Milloin voimme nähdä toisemme?;Mikor tudunk találkozni?
On peut se voir lundi ?;Voimmeko tavata maanantaina?;Találkozhatunk hétfőn?
Mardi, à 14 heures, tu es libre ?;Tiistaina kello 14, oletko vapaa?;Kedden 14 órakor szabad vagy?
Jeudi, à 16, ça te va ?;Torstaina kello 16, sopiiko sinulle?;Csütörtökön 16 órakor megfelel?
Tu es libre vendredi ?;Oletko vapaa perjantaina?;Szabad vagy pénteken?
Alors, on se retrouve à 19 heures au café du coin ?;Tavataanko sitten kello 19 kulmakahvilassa?;Akkor találkozunk este 7-kor a sarki kávézóban?
Si ça ne vous va pas;Jos se ei sovi;Ha nem jó / nem felel meg
Non, je ne suis pas libre.;En ole vapaa.;Nem vagyok szabad.
Non, j'ai un rendez-vous à cette heure-là.;Minulla on tapaaminen siihen aikaan.;Akkor van egy találkozóm.
Non, j'ai un cours.;Minulla on tunti.;Órám van.
Non, j'ai du travail.;Minulla on töitä.;Dolgoznom kell.
Si ça vous va;Jos se sopii;Ha megfelel / jó
Oui, je suis libre à cette heure-là.;Olen vapaa siihen aikaan.;Akkor szabad vagyok.
Oui, ça me va.;Se sopii minulle.;Megfelel nekem.
Oui, d'accord.;Kyllä, sopii.;Igen, rendben.
Oui, je peux m'arranger.;Voin järjestää asian.;Meg tudom oldani / alkalmazkodom.
Avec plaisir !;Mielelläni!;Örömmel!
C'est sympa !;Se on mukavaa!;Ez kedves!
Entendu !;Sovittu!;Megbeszéltük!
C'est une bonne idée !;Se on hyvä idea!;Jó ötlet!
Oui, je veux bien.;Kyllä, mielelläni.;Igen, szívesen.
Volontiers.;Mielelläni.;Szívesen.
Pourquoi pas.;Miksi ei.;Miért ne.
Ben oui, si tu veux.;No joo, jos haluat.;Hát persze, ha akarod.
Oui, peut-être.;Kyllä, ehkä.;Igen, talán.
Oui...;Kyllä...;Igen...
Écoute, Sanna, on peut se voir lundi ?;Kuule, Sanna, voimmeko tavata maanantaina?;Figyelj, Sanna, találkozhatunk hétfőn?
Oui... d'accord.;Kyllä... sopii.;Igen... rendben.
Tu es libre à 6 h ?;Oletko vapaa kello kuudelta?;Szabad vagy hatkor?
À 6 h ?;Kuudelta?;Hatkor?
Ah non, j'ai encore des cours.;Voi ei, minulla on vielä tunteja.;Ó, nem, még óráim vannak.
Et à 8 h, ça te va ?;Entä kahdeksalta, sopiiko se sinulle?;És nyolckor megfelel?
Oui, ça me va bien.;Kyllä, se sopii hyvin.;Igen, az jó nekem.
Alors, on se voit lundi, à 8 h au café du coin ?;Siis nähdään maanantaina kahdeksalta kulmakahvilassa?;Akkor hétfőn nyolckor találkozunk a sarki kávézóban?
Oui, le café, c'est une bonne idée.;Kyllä, kahvila on hyvä idea.;Igen, a kávézó jó ötlet.
À lundi alors!;Nähdään maanantaina siis!;Akkor hétfőn találkozunk!
