French;Finnish;Hungarian
soixante;kuusikymmentä (60);hatvan
soixante-et-un;kuusikymmentäyksi (61);hatvanegy
soixante-deux;kuusikymmentäkaksi (62);hatvankettő
soixante-trois;kuusikymmentäkolme (63);hatvanhárom
soixante-quatre;kuusikymmentäneljä (64);hatvannégy
soixante-cinq;kuusikymmentäviisi (65);hatvanöt
soixante-six;kuusikymmentäkuusi (66);hatvanhat
soixante-sept;kuusikymmentäseitsemän (67);hatvanhét
soixante-huit;kuusikymmentäkahdeksan (68);hatvannyolc
soixante-neuf;kuusikymmentäyhdeksän (69);hatvankilenc
soixante-dix;seitsemänkymmentä (70);hetven
soixante-et-onze;seitsemänkymmentäyksi (71);hetvenegy
soixante-douze;seitsemänkymmentäkaksi (72);hetvenkettő
soixante-treize;seitsemänkymmentäkolme (73);hetvenhárom
soixante-quatorze;seitsemänkymmentäneljä (74);hetvennégy
soixante-quinze;seitsemänkymmentäviisi (75);hetvenöt
soixante-seize;seitsemänkymmentäkuusi (76);hetvenhat
soixante-dix-sept;seitsemänkymmentäseitsemän (77);hetvenhét
soixante-dix-huit;seitsemänkymmentäkahdeksan (78);hetvennyolc
soixante-dix-neuf;seitsemänkymmentäyhdeksän (79);hetvenkilenc
quatre-vingts;kahdeksankymmentä (80);nyolcvan
quatre-vingt-un;kahdeksankymmentäyksi (81);nyolcvanegy
quatre-vingt-deux;kahdeksankymmentäkaksi (82);nyolcvankettő
quatre-vingt-trois;kahdeksankymmentäkolme (83);nyolcvanhárom
quatre-vingt-quatre;kahdeksankymmentäneljä (84);nyolcvannégy
quatre-vingt-cinq;kahdeksankymmentäviisi (85);nyolcvanöt
quatre-vingt-six;kahdeksankymmentäkuusi (86);nyolcvanhat
quatre-vingt-sept;kahdeksankymmentäseitsemän (87);nyolcvanhét
quatre-vingt-huit;kahdeksankymmentäkahdeksan (88);nyolcvannyolc
quatre-vingt-neuf;kahdeksankymmentäyhdeksän (89);nyolcvankilenc
quatre-vingt-dix;yhdeksänkymmentä (90);kilencven
quatre-vingt-onze;yhdeksänkymmentäyksi (91);kilencvenegy
quatre-vingt-douze;yhdeksänkymmentäkaksi (92);kilencvenkettő
quatre-vingt-treize;yhdeksänkymmentäkolme (93);kilencvenhárom
quatre-vingt-quatorze;yhdeksänkymmentäneljä (94);kilencvennégy
quatre-vingt-quinze;yhdeksänkymmentäviisi (95);kilencvenöt
quatre-vingt-seize;yhdeksänkymmentäkuusi (96);kilencvenhat
quatre-vingt-dix-sept;yhdeksänkymmentäseitsemän (97);kilencvenhét
quatre-vingt-dix-huit;yhdeksänkymmentäkahdeksan (98);kilencvennyolc
quatre-vingt-dix-neuf;yhdeksänkymmentäyhdeksän (99);kilencvenkilenc
cent;sata (100);száz
