French;Finnish;Hungarian
(Il est) huit heures (du matin);kahdeksan (8:00) (aamulla);(reggel) nyolc óra
huit heures dix;kymmenen yli kahdeksan (8:10);nyolc óra tíz
huit heures quinze;viisitoista yli kahdeksan (8:15);nyolc óra tizenöt
huit heures et quart;varttia yli kahdeksan (8:15);negyed kilenc
huit heures et demie;puoli yhdeksän (8:30);fél kilenc
midi;puolipäivä (12:00);dél
une heure moins le quart;varttia vaille yksi (12:45);háromnegyed egy
douze heures quarante-cinq;neljäkymmentöviisi yli kaksitoista (12:45);tizenkettő negyvenöt
une heure (de l'après-midi);yksi (13:00);egy óra
sept heures moins dix;kymmentä vaille seitsemän illalla (18:50);tíz perccel hét előtt
dix-huit heures cinquante;viisikymmentä yli kahdeksantoista (18:50);tizennyolc ötven
minuit;keskiyö (00:00);éjfél
six heures quinze;viisitoista yli kuusi (6:15);hat óra tizenöt
six heures et quart;varttia yli kuusi (6:15);negyed hét
six heures trente;kolmekymmentä yli kuusi (6:30);hat óra harminc
six heures et demie;puoli seitsemän (6:30);fél hét
sept heures moins le quart;varttia vaille seitsemän (6:45);háromnegyed hét
six heures quarante-cinq;neljäkymmentäviisi yli kuusi (6:45);hat óra negyvenöt
seize heures quinze;viisitoista yli neljä (16:15);tizenhat óra tizenöt
seize heures et quart;varttia yli neljä (16:15);negyed öt
dix-sept heures moins le quart;varttia vaille viisi (16:45);háromnegyed öt
seize heures quarante-cinq;neljäkymmentäviisi yli neljä (16:45);tizenhat óra negyvenöt
douze heures trente;kolmekymmentä yli kaksitoista (12:30);tizenkettő óra harminc
midi et demi;puoli yksi (12:30);fél egy
six heures moins dix;kymmentä vaille kuusi (5:50);tíz perccel hat előtt
cinq heures cinquante;viisikymmentä yli viisi (5:50);öt óra ötven
dix-huit heures moins vingt;kaksikymmentä vaille kuusi (17:40);húsz perccel hat előtt
dix-sept heures quarante;neljäkymmentä yli viisi (17:40);tizenhét óra negyven
une heure;yksi tunti;(egy) óra
une minute;yksi minuutti;egy perc
une seconde;yksi sekunti;egy másodperc
un instant;hetki;pillanat
un quart;vartti / neljännes;negyed
le matin;aamu;reggel
l'après-midi;iltapäivä;délután
le soir;ilta;este
la nuit;yö;éjjel / éjszaka
