French;Finnish;Hungarian
lundi; maanantai; hétfő
mardi; tiistai; kedd
mercredi; keskiviikko; szerda
jeudi; torstai; csütörtök
vendredi; perjantai; péntek
samedi; lauantai; szombat
dimanche; sunnuntai; vasárnap
janvier; tammikuu; január
février; helmikuu; február
mars; maaliskuu; március
avril; huhtikuu; április
mai; toukokuu; május
juin; kesäkuu; június
juillet; heinäkuu; július
août; elokuu; augusztus
septembre; syyskuu; szeptember
octobre; lokakuu; október
novembre; marraskuu; november
décembre; joulukuu; december
L'HIVER;Talvi;Tél
LE PRINTEMPS;Kevät;Tavasz
L'ÉTÉ;Kesä;Nyár
L'AUTOMNE;Syksy;Ősz
