French;Finnish;Hungarian
à bientôt;nähdään pian;hamarosan találkozunk
accueil (m.);vastaanotto (mies);recepció (fiú)
ami, amie (f.);ystävä (mies / nainen);barát (fiú), barátnő (lány)
assez;aika, melko;elég
avec;kanssa;val / vel
badminton (m.);sulkapallo (mies);tollaslabda (fiú)
calme;rauhallinen;nyugodt
cette fois;tällä kertaa;ezúttal
chaleureux, chaleureuse;lämmin;szívélyes
commencer;aloittaa;kezdeni
déplacement (m.);työmatka (mies);üzleti út (fiú)
écrire;kirjoittaa;írni
e-mail (m.);sähköposti (mies);e-mail (fiú)
en décembre;joulukuussa;decemberben
enfin;vihdoin;végre
espérer;toivoa;remélni
être de retour;olla palannut;visszatérni
être en train de (+ INF);olla parhaillaan tekemässä;éppen csinálni vmit
faire de la peinture;maalata;festeni
faire la cuisine;laittaa ruokaa;főzni
fois (f.);kerta (nainen);alkalom (lány)
ici;täällä;itt
le 16 octobre;16. lokakuuta;október 16.
manger;syödä;enni
marché (m.);markkinat (mies);piac (fiú)
Noël (m.);joulu (mies);karácsony (fiú)
nouveau, nouvelle;uusi;új
on mange bien;syödään hyvin;jól eszünk / jól lehet enni
passe-temps, hobby (m.);harrastus (mies);hobbi (fiú)
peinture (f.);maalaus (nainen);festmény (lány)
période (f.);ajanjakso (nainen);időszak (lány)
planifier;suunnitella;megtervezni
prochain, prochaine;seuraava;következő
quotidien (m.);arki (mies);mindennapok (fiú)
sympa;kiva, hauska;szimpatikus, kedves
tajine (m.);lihapata (mies);tagine (fiú)
tout, toute;koko, kaikki;egész / minden
tout va bien;kaikki menee hyvin;minden rendben
travail (m.);työ, työpaikka (mies);munka, munkahely (fiú)
venir;tulla;jönni
voyage (m.);matka (mies);utazás (fiú)
voyager;matkustaa;utazni
amusant, amusante;hauska;vicces
année (f.);vuosi (nainen);év (lány)
après-midi (m.);iltapäivä (mies);délután (fiú)
assistant, assistante;assistentti, avustaja (mies / nainen);asszisztens (fiú / lány)
attendre;odottaa;várni
aujourd'hui;tänään;ma
