French;Finnish;Hungarian
Demain, nous allons faire une randonnée.;Huomenna menemme patikoimaan.;Holnap túrázni fogunk.
Et toi, qu'est-ce que tu vas faire ?;Entä sinä, mitä aiot tehdä?;És te, mit fogsz csinálni?
Je suis fatiguée.;Olen väsynyt.;Fáradt vagyok (lány).
Je vais rester chez moi.;Aion jäädä kotiin.;Otthon fogok maradni.
Je vais lire un roman.;Aion lukea romaanin.;Egy regényt fogok olvasni.
Demain, je vais faire une randonnée.;Huomenna aion patikoida.;Holnap túrázni fogok.
Après-demain, je ne vais pas travailler.;Ylihuomenna en aio työskennellä.;Holnapután nem fogok dolgozni.
je vais travailler;Aion työskennellä.;Dolgozni fogok.
tu vas jouer au tennis;Aiot pelata tennistä.;Teniszezni fogsz.
il va écrire un courriel;Hän (mies) aikoo kirjoittaa sähköpostin.;Ő (fiú) e-mailt fog írni.
elle va écrire un courriel;Hän (nainen) aikoo kirjoittaa sähköpostin.;Ő (lány) e-mailt fog írni.
nous allons regarder la télé;Aiomme katsoa televisiota.;Tévézni fogunk.
vous allez dormir;Aiotte nukkua.;Aludni fogtok / fog (ön).
ils vont écouter la radio;He (miehet) aikovat kuunnella radiota.;Ők (fiúk / vegyes) rádiót fognak hallgatni.
elles vont écouter la radio;He (naiset) aikovat kuunnella radiota.;Ők (lányok) rádiót fognak hallgatni.
ALLER;mennä;menni
je vais;minä menen;én megyek
tu vas;sinä menet;te mész
il va;hän menee (mies);ő megy (fiú)
elle va;hän menee (nainen);ő megy (lány)
nous allons;me menemme;mi megyünk
vous allez;te menette;ti mentek
ils vont;he menevät (miehet);ők mennek (fiúk)
elles vont;he menevät (naiset);ők mennek (lányok)
aujourd'hui; tänään; ma
cet après-midi; tänä iltapäivänä; ma délután
ce soir; tänä iltana; ma este
demain; huomenna; holnap
demain matin; huomenaamulla; holnap reggel
après-demain; ylihuomenna; holnapután
ce week-end; tänä viikonloppuna; ezen a hétvégén
la semaine prochaine; ensi viikolla; jövő héten
cette année; tänä vuonna; ebben az évben
l'année prochaine; ensi vuonna; jövőre
Aujourd'hui, je vais étudier les verbes.; Tänään aion opiskella verbejä.; Ma az igéket fogom tanulni.
Aujourd'hui, je vais tenir mon blog.; Tänään aion ylläpitää blogiani.; Ma a blogomat fogom vezetni.
Ce week-end, je vais téléphoner à Luc.; Tänä viikonloppuna aion soittaa Lucille.; Ezen a hétvégén fel fogom hívni Lucot.
Ce week-end, je vais faire de la randonnée.; Tänä viikonloppuna aion patikoida.; Ezen a hétvégén túrázni fogok.
Ce week-end, je vais me détendre.; Tänä viikonloppuna aion rentoutua.; Ezen a hétvégén pihenni fogok.
