French;Finnish;Hungarian
ALLER;mennä;menni
je vais;minä menen;én megyek
tu vas;sinä menet;te mész
il va;hän menee (mies);ő megy (fiú)
elle va;hän menee (nainen);ő megy (lány)
nous allons;me menemme;mi megyünk
vous allez;te menette;ti mentek
ils vont;he menevät (miehet);ők mennek (fiúk)
elles vont;he menevät (naiset);ők mennek (lányok)
FAIRE;tehdä;csinálni
je fais;minä teen;én csinálok
tu fais;sinä teet;te csinálsz
il fait;hän tekee (mies);ő csinál (fiú)
elle fait;hän tekee (nainen);ő csinál (lány)
nous faisons;me teemme;mi csinálunk
vous faites;te teette;ti csináltok
ils font;he tekevät (miehet);ők csinálnak (fiúk)
elles font;he tekevät (naiset);ők csinálnak (lányok)
RÉPONDRE;vastata;válaszolni
je réponds;minä vastaan;én válaszolok
tu réponds;sinä vastaat;te válaszolsz
il répond;hän vastaa (mies);ő válaszol (fiú)
elle répond;hän vastaa (nainen);ő válaszol (lány)
nous répondons;me vastaamme;mi válaszolunk
vous répondez;te vastaatte;ti válaszoltok
ils répondent;he vastaavat (miehet);ők válaszolnak (fiúk)
elles répondent;he vastaavat (naiset);ők válaszolnak (lányok)
ATTENDRE;odottaa;várni
j'attends;minä odotan;én várok
tu attends;sinä odotat;te vársz
il attend;hän odottaa (mies);ő vár (fiú)
elle attend;hän odottaa (nainen);ő vár (lány)
nous attendons;me odotamme;mi várunk
vous attendez;te odotatte;ti vártok
ils attendent;he odottavat (miehet);ők várnak (fiúk)
elles attendent;he odottavat (naiset);ők várnak (lányok)
ÉCRIRE;kirjoittaa;írni
j'écris;minä kirjoitan;én írok
tu écris;sinä kirjoitat;te írsz
il écrit;hän kirjoittaa (mies);ő ír (fiú)
elle écrit;hän kirjoittaa (nainen);ő ír (lány)
nous écrivons;me kirjoitamme;mi írunk
vous écrivez;te kirjoitatte;ti írtok
ils écrivent;he kirjoittavat (miehet);ők írnak (fiúk)
elles écrivent;he kirjoittavat (naiset);ők írnak (lányok)
ESPÉRER;toivoa;remélni
j'espère;minä toivon;én remélek
tu espères;sinä toivot;te remélsz
il espère;hän toivoo (mies);ő remél (fiú)
elle espère;hän toivoo (nainen);ő remél (lány)
nous espérons;me toivomme;mi remélünk
vous espérez;te toivotte;ti reméltek
ils espèrent;he toivovat (miehet);ők remélnek (fiúk)
elles espèrent;he toivovat (naiset);ők remélnek (lányok)
