French;Finnish;Hungarian
Parle (!);Puhu!;Beszélj!
Parlons (!);Puhukaamme!;Beszéljünk!
Parlez (!);Puhukaa!;Beszéljetek!
Ne parle pas (!);Älä puhu!;Ne beszélj!
Ne parlons pas (!);Älkäämme puhuko!;Ne beszéljünk!
Ne parlez pas (!);Älkää puhuko!;Ne beszéljetek!
Sors (!);Lähde! / Mene ulos!;Menj ki!
Sortons (!);Lähtekäämme! / Mennään ulos!;Menjünk ki!
Sortez (!);Lähtekää! / Menkää ulos!;Menjetek ki!
Ne sors pas (!);Älä lähde! / Älä mene ulos!;Ne menj ki!
Ne sortons pas (!);Älkäämme lähtekö! / Älkäämme menkö ulos!;Ne menjünk ki!
Ne sortez pas (!);Älkää lähtekö! / Älkää menkö ulos!;Ne menjetek ki!
Mange (!);Syö!;Egyél!
Mangeons (!);Syökäämme!;Együnk!
Mangez (!);Syökää!;Egyetek!
Ne mange pas (!);Älä syö!;Ne egyél!
Ne mangeons pas (!);Älkäämme syökö!;Ne együnk!
Ne mangez pas (!);Älkää syökö!;Ne egyetek!
Finis (!);Lopeta!;Fejezd be!
Finissons (!);Lopettakaamme!;Fejezzük be!
Finissez (!);Lopettakaa!;Fejezzétek be!
Ne finis pas (!);Älä lopeta!;Ne fejezd be!
Ne finissons pas (!);Älkäämme lopettako!;Ne fejezzük be!
Ne finissez pas (!);Älkää lopettako!;Ne fejezzétek be!
Lis (!);Lue!;Olvass!
Lisons (!);Lukekaamme!;Olvassunk!
Lisez (!);Lukekaa!;Olvassatok!
Ne lis pas (!);Älä lue!;Ne olvass!
Ne lisons pas (!);Älkäämme lukeko!;Ne olvassunk!
Ne lisez pas (!);Älkää lukeko!;Ne olvassatok!
Écris (!);Kirjoita!;Írj!
Écrivons (!);Kirjoittakaamme!;Írjunk!
Écrivez (!);Kirjoittakaa!;Írjatok!
N'écris pas (!);Älä kirjoita!;Ne írj!
N'écrivons pas (!);Älkäämme kirjoittako!;Ne írjunk!
N'écrivez pas (!);Älkää kirjoittako!;Ne írjatok!
Prends (!);Ota!;Vegyél!
Prenons (!);Ottakaamme!;Vegyünk!
Prenez (!);Ottakaa!;Vegyetek!
Ne prends pas (!);Älä ota!;Ne vegyél!
Ne prenons pas (!);Älkäämme ottako!;Ne vegyünk!
Ne prenez pas (!);Älkää ottako!;Ne vegyetek!
tu as;sinulla on;neked van
nous avons;meillä on;nekünk van
vous avez;teillä on;nektek van
aie;sinulla ole;nekem legyen
ayons;meillä olkaa;nekünk legyen
ayez;teillä olkaa;nektek legyenek
sois;ole;légy
soyons;ollaan;legyünk
soyez;olkaa;legyetek
tu es;sinä olet;te fiú / nő vagy
nous sommes;me olemme;mi vagyunk
vous êtes;te olette;ti vagytok
Aie du courage (!);Ole rohkea!;Légy bátor! (fiú / lány)
Ayons du courage (!);Olkoot me rohkeita!;Legyünk bátrak!
Ayez du courage (!);Olkaa rohkeita!;Legyetek bátrak!
N'aie pas peur (!);Älä pelkää!;Ne félj! (fiú / lány)
N'ayons pas peur (!);Älkäämme pelätkö!;Ne féljünk!
N'ayez pas peur (!);Älkää pelätkö!;Ne féljetek!
Sois calme (!);Ole rauhallinen!;Légy nyugodt! (fiú / lány)
Soyons calmes (!);Ollaan rauhallisia!;Legyünk nyugodtak!
Soyez calme (!);Olkaa rauhallisia!;Legyetek nyugodtak!
Ne sois pas stressé (!);Älä ole stressaantunut!;Ne legyél stresszes! (fiú)
Ne soyons pas stressés (!);Älkäämme olko stressaantuneita!;Ne legyünk stresszesek!
Ne soyez pas stressé (!);Älkää olko stressaantuneita!;Ne legyetek stresszesek!
