French;Finnish;Hungarian
(une) voiture ; auto ; autó (lány)
(un) hélicoptère ; helikopteri ; helikopter (fiú)
(un) train ; juna ; vonat (fiú)
(un) ferry ; autolautta / lossi ; komp (fiú)
(une) montgolfière ; kuumailmapallo ; hőlégballon (lány)
(un) avion ; lentokone ; repülőgép (fiú)
(un) bus ; bussi ; busz (fiú)
(un) métro ; metro ; metró (fiú)
(une) moto ; moottoripyörä ; motorbicikli (lány)
(un) vélo ; polkupyörä ; kerékpár (fiú)
(un) tram ; raitiovaunu ; villamos (fiú)
(un) scooter ; skootteri ; robogó (fiú)
(un) taxi ; taksi ; taxi (fiú)
(un) bateau ; vene / laiva ; hajó (fiú)
Je vais à l'université en bus ; Menen yliopistoon bussilla ; Busszal megyek az egyetemre
Vous allez au centre en métro ? ; Menettekö keskustaan metrolla? ; Metróval mennek a központba?
Moi, je préfère y aller à pied ; Minä menen mieluummin kävellen ; Én inkább gyalog megyek oda
à / en vélo ; pyörällä ; kerékpárral
Pour aller à Paris depuis Bruxelles ; Päästäksesi Pariisiin Brysselistä ; Hogy eljuss Párizsba Brüsszelből
Prenez le train Thalys ; Ottakaa Thalys-juna ; Menjen a Thalys vonattal
Ah zut, je suis en retard ! ; Voi ei, olen myöhässä! ; Francba, elkéstem!
Je vais prendre un taxi ; Aion ottaa taksin ; Taxit fogok hívni
