Finnish; English; Hungarian
Teatteriperinne; Theatre tradition; Színházi hagyomány
Suomi; Finland; Finnország
Kirkko; Church; Templom
Piiri; Circle / Domain; Kör / Körzet
Muualla; Elsewhere; Máshol
Eurooppa; Europe; Európa
Siirtyä; To transfer / To move; Áthelyez / Átkerül
Vähitellen; Gradually; Fokozatosan
Koulu; School; Iskola
Opetus; Education / Teaching; Oktatás
Alue; Area / Field; Terület
Näytelmä; Play / Drama; Színdarab
Esitys; Performance; Előadás
Yliopisto; University; Egyetem
Juhla; Celebration / Festival; Ünnep
Ohjelma; Program / Schedule; Program
Teatteri; Theatre; Színház
Nukkua; To sleep; Aludni
Vuosisata; Century; Század
Amatööri, Harrastelija; Amateur; Amatőr
Näyttelijä; Actor / Actress; Színész / Színésznő
Rakentaa; To build; Építeni
Tulipalo; Fire (destructive); Tűzvész
Seurue; Troupe; Társulat
Maaseutu; Countryside; Vidék
Keskustella; To discuss; Megbeszélni
Tarpeellinen; Necessary; Szükséges
Komedia; Comedy; Komédia
Syntymähetki; Moment of birth; Születés pillanata
Kansalliskirjailija; National author; Nemzeti író
Irtaantua; To separate; Elszakadni
Tukikohta; Base; Bázis
Näyttämö; Stage; Színpad
Kiertää; To tour; Körbejárni
Asema; Position / Role; Szerep
Työväenliike; Labour movement; Munkásmozgalom
Ohjaaja; Director; Rendező
Realismi; Realism; Realizmus
Klassinen; Classical; Klasszikus
Yhteys; Connection; Kapcsolat
Yhteistyö; Cooperation; Együttműködés
Taloudellinen; Financial; Pénzügyi
Alueteatteri; Regional theatre; Regionális színház
Ryhmä; Group; Csoport
Kokonaiskuva; Overall picture; Összkép
Kesäteatteri; Summer theatre; Nyári színház
Pyörivä katsomo; Rotating auditorium; Forgó nézőtér
Oopperajuhlat; Opera festival; Operafesztivál
Pienoisnäyttämö; Miniature stage; Miniatűr színpad
Kokeileva; Experimental; Kísérleti
Poliittisuus; Political nature; Politikai jelleg
Yhteiskunnallisuus; Social engagement; Társadalmi jelleg
Musiikkiteatteri; Musical theatre; Zenés színház
Tanssiteatteri; Dance theatre; Táncszínház
Paikallinen; Local; Helyi
Teatterikoulutus; Theatre education; Színházi képzés
Talous; Economy; Gazdaság
