Finnish;english;hungarian
kaksi banaania;two bananas;két banán
viisi perunaa;five potatoes;öt krumpli
168 000 järveä;168 000 lakes;168 000 tó
yksi banaani;one banana;egy banán
yksi peruna;one potato;egy burgonyát
yksi järvi;one lake;egy tó
monta kukkaa;many flowers;sok virág
puoli päivää;half a day;fél nap
pari olutta;a couple of beers;egy pár sört
litra maitoa;a liter of milk;egy liter tejet
kuppi kahvia;cup of coffee;csésze kávét
200 grammaa juustoa;200 grams of cheese;200 gramm sajt
purkki hilloa;jar of jam;befőttes üveg
paketti teetä;a packet of tea;egy csomag teát
pussi karkkia;bag of candy;zacskó édességet
Mä juon maitoa.;I drink milk.;tejet iszom.
Hän syö kalaa.;He eats fish.;Halat eszik.
He juovat teetä.;They are drinking tea.;Teát isznak.
Kuka puhuu venäjää?;Who speaks Russian?;Ki beszél oroszul?
Minä rakastan sinua!;I love you!;szeretlek!
Me opiskelemme suomea.;We study Finnish.;Finnországot tanulunk.
Hyvää yötä!;Good night!;Jó éjszakát!
Hauskaa viikonloppua!;Have a nice weekend!;Jó hétvégét!
Hyvää ruokahalua!;Good appetite!;Jó étvágyat!
yksi jäätelö;one ice cream;egy fagylalt
kaksi jäätelöä;two ice creams;két fagylalt
kolme jäätelöä;three ice creams;három fagylalt
