Finnish;Finnish (partitiivi)
laktoositon maito;laktoositonta maitoa
kaakao;kaakaota
tee;teetä
olut;olutta
siideri;siideriä
tuore leipä;tuoretta leipää
suklaa;suklaata
jäätelö;jäätelöä
lohifile;lohifilettä
voi;voita
oliiviöljy;oliiviöljyä
salaatinkastike;salaatinkastiketta
kurkku;kurkkua
ananas;ananasta
chilijauhe;chilijauhetta
suola;suolaa
tomaatti;tomaattia
kurkku;kurkkua
ruisleipä;ruisleipää
juusto;juustoa
makkara;makkaraa
päärynä;päärynää
suklaa;suklaata
vesimeloni;vesimelonia
jäätelö;jäätelöä
ananas;ananasta
maito;maitoa
piimä;piimää
kahvi;kahvia
tee;teetä
kaakao;kaakaota
mehu;mehua
viini;viiniä
olut;olutta
siideri;siideriä
vesi;vettä
