Finnish (perusmuoto);Finnish (-va partisiippi);Finnish (-tava partisiippi);Finnish (-nut partisiippi);Finnish (-tu partisiippi);English;Hungarian
olla;oleva;oltava;ollut;oltu;be;van
lukea;lukeva;luettava;lukenut;luettu;read;olvas
opiskella;opiskeleva;opiskeltava;opiskellut;opiskeltu;study;tanul
kirjoittaa;kirjoittava;kirjoitettava;kirjoittanut;kirjoitettu;write;ír
puhua;puhuva;puhuttava;puhunut;puhuttu;speak;beszél
syödä;syövä;syötävä;syönyt;syöty;eat;eszik
juoda;juova;juotava;juonut;juotu;drink;iszik
tehdä;tekevä;tehtävä;tehnyt;tehty;do, make;csinál
nähdä;näkevä;nähtävä;nähnyt;nähty;see;lát
kuulla;kuuleva;kuultava;kuullut;kuultu;hear;hall
katsoa;katsova;katsottava;katsonut;katsottu;watch;néz
kuunnella;kuunteleva;kuunneltava;kuunnellut;kuunneltu;listen;hallgat
ostaa;ostava;ostettava;ostanut;ostettu;buy;vesz
myydä;myyvä;myytävä;myynyt;myyty;sell;elad
antaa;antava;annettava;antanut;annettu;give;ad
ottaa;ottava;otettava;ottanut;otettu;take;elvesz
saada;saava;saatava;saanut;saatu;get, receive;kap
sanoa;sanova;sanottava;sanonut;sanottu;say;mond
kertoa;kertova;kerrottava;kertonut;kerrottu;tell;mesél
tietää;tietävä;tiedettävä;tiennyt;tiedetty;know (facts);tud (tényt)
tuntea;tunteva;tunnettava;tuntenut;tunnettu;feel, know;érez, ismer
ymmärtää;ymmärtävä;ymmärrettävä;ymmärtänyt;ymmärretty;understand;ért
muistaa;muistava;muistettava;muistanut;muistettu;remember;emlékszik
unohtaa;unohtava;unohdettava;unohtanut;unohdettu;forget;elfelejt
rakastaa;rakastava;rakastettava;rakastanut;rakastettu;love;szeret
vihata;vihaava;vihattava;vihannut;vihattu;hate;gyűlöl
pelätä;pelkäävä;pelättävä;pelännyt;pelätty;fear;fél
auttaa;auttava;autettava;auttanut;autettu;help;segít
odottaa;odottava;odotettava;odottanut;odotettu;wait;vár
etsiä;etsivä;etsittävä;etsinyt;etsitty;search;keres
löytää;löytävä;löydettävä;löytänyt;löydetty;find;talál
hakea;hakeva;haettava;hakenut;haettu;fetch, apply;hoz, keres
avata;avaava;avattava;avannut;avattu;open;kinyit
sulkea;sulkeva;suljettava;sulkenut;suljettu;close;bezár
tulla;tuleva;tultava;tullut;tultu;come;jön
mennä;menevä;mentävä;mennyt;menty;go;megy
lähteä;lähtevä;lähdettävä;lähtenyt;lähdetty;leave;elindul
jäädä;jäävä;jäätävä;jäänyt;jääty;stay;marad
palata;palaava;palattava;palannut;palattu;return;visszatér
tuoda;tuova;tuotava;tuonut;tuotu;bring;hoz
viedä;vievä;vietävä;vienyt;viety;take away;visz
kantaa;kantava;kannettava;kantanut;kannettu;carry;cipel
nostaa;nostava;nostettava;nostanut;nostettu;lift;emel
heittää;heittävä;heitettävä;heittänyt;heitetty;throw;dob
laittaa;laittava;laitettava;laittanut;laitettu;put;tesz
pestä;pesevä;pestävä;pessyt;pesty;wash;mos
siivota;siivoava;siivottava;siivonnut;siivottu;clean;takarít
rakentaa;rakentava;rakennettava;rakentanut;rakennettu;build;épít
korjata;korjaava;korjattava;korjannut;korjattu;repair;javít
maalata;maalaava;maalattava;maalannut;maalattu;paint;fest
piirtää;piirtävä;piirrettävä;piirtänyt;piirretty;draw;rajzol
laulaa;laulava;laulettava;laulanut;laulettu;sing;énekel
soittaa;soittava;soitettava;soittanut;soitettu;play, call;játszik, telefonál
tanssia;tanssiva;tanssittava;tanssinut;tanssittu;dance;táncol
leikkiä;leikkivä;leikittävä;leikkinyt;leikitty;play;játszik
pelata;pelaava;pelattava;pelannut;pelattu;play a game;játszik (pl. videójátékot)
juosta;juokseva;juostava;juossut;juostu;run;fut
kävellä;kävelevä;käveltävä;kävellyt;kävelty;walk;sétál
uida;uiva;uitava;uinut;uitu;swim;úszik
hypätä;hyppäävä;hypättävä;hypännyt;hypätty;jump;ugrik
nukkua;nukkuva;nukuttava;nukkunut;nukuttu;sleep;alszik
herätä;heräävä;herättävä;herännyt;herätty;wake up;felébred
herättää;herättävä;herätettävä;herättänyt;herätetty;wake someone;ébreszt
istua;istuva;istuttava;istunut;istuttu;sit;ül
nousta;nouseva;noustava;noussut;noustu;rise;felkel
laskea;laskeva;laskettava;laskenut;laskettu;count, descend;számol
alkaa;alkava;alettava;alkanut;alettu;begin;kezdődik
lopettaa;lopettava;lopetettava;lopettanut;lopetettu;finish;befejez
jatkaa;jatkava;jatkettava;jatkanut;jatkettu;continue;folytat
yrittää;yrittävä;yritettävä;yrittänyt;yritetty;try;próbál
onnistua;onnistuva;onnistuttava;onnistunut;onnistuttu;succeed;sikerül
oppia;oppiva;opittava;oppinut;opittu;learn;tanul (pl. vezetni)
opettaa;opettava;opetettava;opettanut;opetettu;teach;tanít
kysyä;kysyvä;kysyttävä;kysynyt;kysytty;ask;kérdez
vastata;vastaava;vastattava;vastannut;vastattu;answer;válaszol
pyytää;pyytävä;pyydettävä;pyytänyt;pyydetty;ask for;kér
selittää;selittävä;selitettävä;selittänyt;selitetty;explain;magyaráz
ajatella;ajatteleva;ajateltava;ajatellut;ajateltu;think;gondol
uskoa;uskova;uskottava;uskonut;uskottu;believe;hisz
toivoa;toivova;toivottava;toivonut;toivottu;hope;remél
haluta;haluava;haluttava;halunnut;haluttu;want;akar
tarvita;tarvitseva;tarvittava;tarvinnut;tarvittu;need;szüksége van
osata;osaava;osattava;osannut;osattu;know how;tud (képes valamire)
voida;voiva;voitava;voinut;voitu;be able;tud
käyttää;käyttävä;käytettävä;käyttänyt;käytetty;use;használ
maksaa;maksava;maksettava;maksanut;maksettu;pay;fizet
lainata;lainaava;lainattava;lainannut;lainattu;borrow, lend;kölcsönöz
omistaa;omistava;omistettava;omistanut;omistettu;own;birtokol
tilata;tilaava;tilattava;tilannut;tilattu;order (food);rendel
varata;varaava;varattava;varannut;varattu;reserve;foglal
tarjota;tarjoava;tarjottava;tarjonnut;tarjottu;offer;kínál
elää;elävä;elettävä;elänyt;eletty;live;él
asua;asuva;asuttava;asunut;asuttu;reside;lakik
kuolla;kuoleva;kuoltava;kuollut;kuoltu;die;meghal
tappaa;tappava;tapettava;tappanut;tapettu;kill;megöl
pelastaa;pelastava;pelastettava;pelastanut;pelastettu;save;megment
suojella;suojeleva;suojeltava;suojellut;suojeltu;protect;véd
hoitaa;hoitava;hoidettava;hoitanut;hoidettu;take care of;gondoz
matkustaa;matkustava;matkustettava;matkustanut;matkustettu;travel;utazik
lentää;lentävä;lennettävä;lentänyt;lennetty;fly;repül
ajaa;ajava;ajettava;ajanut;ajettu;drive;vezet (autót)
keittää;keittävä;keitettävä;keittänyt;keitetty;boil, cook;főz
paistaa;paistava;paistettava;paistanut;paistettu;fry;süt
leikata;leikkaava;leikattava;leikannut;leikattu;cut;vág
syöttää;syöttävä;syötettävä;syöttänyt;syötetty;feed;etet
rikkoa;rikkova;rikottava;rikkonut;rikottu;break;eltör
tuhota;tuhoava;tuhottava;tuhonnut;tuhottu;destroy;elpusztít
polttaa;polttava;poltettava;polttanut;poltettu;burn;éget
sytyttää;sytyttävä;sytytettävä;sytyttänyt;sytytetty;ignite;meggyújt
sammuttaa;sammuttava;sammutettava;sammuttanut;sammutettu;extinguish;elolt
lämmittää;lämmittävä;lämmitettävä;lämmittänyt;lämmitetty;heat;melegít
jäähdyttää;jäähdyttävä;jäähdytettävä;jäähdyttänyt;jäähdytetty;cool;hűt
lähettää;lähettävä;lähetettävä;lähettänyt;lähetetty;send;küld
kutsua;kutsuva;kutsuttava;kutsunut;kutsuttu;invite;meghív
tavata;tapaava;tavattava;tavannut;tavattu;meet;találkozik
tervehtiä;tervehtivä;tervehdittävä;tervehtinyt;tervehditty;greet;köszön
kiittää;kiittävä;kiitettävä;kiittänyt;kiitetty;thank;megköszön
luvata;lupaava;luvattava;luvannut;luvattu;promise;ígér
keskustella;keskusteleva;keskusteltava;keskustellut;keskusteltu;discuss;beszélget
neuvotella;neuvotteleva;neuvoteltava;neuvotellut;neuvoteltu;negotiate;tárgyal
neuvoa;neuvova;neuvottava;neuvonut;neuvottu;advise;tanácsol
varoittaa;varoittava;varoitettava;varoittanut;varoitettu;warn;figyelmeztet
kieltää;kieltävä;kiellettävä;kieltänyt;kielletty;forbid;tilt
sallia;salliva;sallittava;sallinut;sallittu;allow;enged
estää;estävä;estettävä;estänyt;estetty;prevent;megakadályoz
käskeä;käskevä;käskettävä;käskenyt;käsketty;order;parancsol
vaatia;vaativa;vaadittava;vaatinut;vaadittu;demand;követel
huutaa;huutava;huudettava;huutanut;huudettu;shout;kiabál
itkeä;itkevä;itkettävä;itkenyt;itketty;cry;sír
nauraa;naurava;naurettava;nauranut;naurettu;laugh;nevet
hymyillä;hymyilevä;hymyiltävä;hymyillyt;hymyilty;smile;mosolyog
kadehtia;kadehtiva;kadehdittava;kadehtinut;kadehdittu;envy;irigyel
arvostaa;arvostava;arvostettava;arvostanut;arvostettu;appreciate;értékel
kunnioittaa;kunnioittava;kunnioitettava;kunnioittanut;kunnioitettu;respect;tisztel
kritisoida;kritisoiva;kritisoitava;kritisoinut;kritisoitu;criticize;kritizál
rangaista;rankaiseva;rangaistava;rangaissut;rangaistu;punish;büntet
palkita;palkitseva;palkittava;palkinnut;palkittu;reward;jutalmaz
voittaa;voittava;voitettava;voittanut;voitettu;win;nyer
valita;valitseva;valittava;valinnut;valittu;choose;választ
päättää;päättävä;päätettävä;päättänyt;päätetty;decide;dönt
ehdottaa;ehdottava;ehdotettava;ehdottanut;ehdotettu;suggest;javasol
huomata;huomaava;huomattava;huomannut;huomattu;notice;észrevesz
hyväksyä;hyväksyvä;hyväksyttävä;hyväksynyt;hyväksytty;accept;elfogad
myöntää;myöntävä;myönnettävä;myöntänyt;myönnetty;admit, grant;elismer
mainita;mainitseva;mainittava;maininnut;mainittu;mention;említ
korostaa;korostava;korostettava;korostanut;korostettu;emphasize;hangsúlyoz
esittää;esittävä;esitettävä;esittänyt;esitetty;present;bemutat
