Finnish;English;hungarian
Opiskelija sanoo;Student says;A diák azt mondja
Anteeksi, että olen myöhässä;I'm sorry that I'm late.;Elnézést a késésért
Mä en ymmärrä.;I don't understand.;Nem ertem.
Mä en tiedä.;I don't know.;Nem tudom.
Mä ymmärrän!;I understand!;Megértem!
Mä tiedän!;I know!;Tudom!
Anteeksi, mitä?;Sorry, what?;Elnézést, mi?
Voitko sanoa uudestaan?;Can you say (it) again?;El tudnád ezt újra mondani?
Voitko toistaa?;Can you repeat?;Megismételnéd?
Voitko puhua hitaammin?;Can you speak more slowly?;Kérlek beszélj lassabban.
Voitko sä auttaa?;Can you help?;Tud segíteni?
Mulla on kysymys.;I have a question.;Kérdésem van.
Mitä huomenna tarkoittaa?;What does huomenna mean?;Mit jelent a holnap?
Se tarkoittaa...;It means...;Azt jelenti...
Mitä tomorrow on suomeksi/englanniksi?;What is tomorrow in Finnish/English?;Mi a holnap finnül/angolul?
Se on;It is;Ez
Miten se kirjoitetaan?;How do you spell it?;hogy van megírva?
Opettaja sanoo;Teacher says;A tanár mondja
Aloitetaan!;Let's start!;Kezdjük el!
Tarkistetaan kotitehtävät.;Let's check the homework.;Ellenőrizzük a házi feladatot.
Katsotaan kotitehtävät.;Let's look at the homework.;Nézzük a házi feladatot.
Otetaan sivu 10.;Let's take the page 10.;Vegyük a 10. oldalt.
Mennään sivulle 10.;Let's go to the page 10.;Menjünk a 10. oldalra.
Harjoitellaan!;Let's practise!;Gyakoroljunk!
Kerrataan!;Let's revise!;Ismételjük!
Kuunnellaan!;Let's listen!;Hallgassunk!
Puhutaan!;Let's speak!;Beszéljünk!
Kirjoitetaan!;Let's write!;Írjunk!
Luetaan!;Let's read!;Olvassunk!
Kuuntele!;Listen!;Hallgat!
Puhu!;Speak!;Beszélj!
Kirjoita!;Write!;Ír!
Lue!;Read!;Olvas!
... parin kanssa.;...with a pair;... egy párral.
... ryhmässä.;... in a group.;... a csoportban.
Onko kysymyksiä?;Are there (any) questions?;Bármi kérdés?
Haluatko kysyä jotain?;Do you want to ask something?;Akarsz kérdezni valamit?
Hyvä, Hienoa;Good, Great;Jó, nagyszerű
Melkein!;Almost!;Majdnem!
Ei ihan;Not quite;Nem egészen
Oikein;Correct, Right, True;Megfelelően
Väärin;Incorrect, Wrong, False;Rossz
Esimerkki;Example;Példa
Esimerkiksi;For example;Például
Helppo;Easy;Könnyen
Vaikea;Difficult;Nehéz
Valmis;Ready, Finished, Completed;Kész
