Finnish;english;hungarian
Kysy kurssikavereilta!;Ask your classmates!;Kérdezd meg osztálytársaidat!
Kuka sä olet?;Who are you?;Ki vagy te?
Mikä sun nimi on?;What is your name?;Mi a neved?
Mikä sun kotimaa on?;What is your home country?;Mi a hazád?
Minkämaalainen sä olet?;From which country are you from?;Melyik országból jöttél?
Mistä maasta sä olet (kotoisin)?;What country are you from?;Melyik országból jöttél)?
Mikä sun äidinkieli on?;What is your mother tongue?;Mi az anyanyelve?
Mitä muita kieliä sä puhut?;What other languages do you speak?;Milyen más nyelveket beszélsz?
Kuinka vanha sä olet?;how old are you;hány éves vagy
Hauska tutustua, Hauska tavata;Nice to meet you!;Jó az ismerkedés, jó a találkozás
Kiitos samoin!;Same to you!;Neked is!
Kaikki hyvin.;It's all good.;Minden rendben van.
Asuutko Tampereella?;Do you live in Tampere?;Tamperében élsz?
Kuinka kauan asut Suomessa?;How long have you been living in Finland?;Mióta él Finnországban?
Puoli vuotta;Half a year;Fél év
