Finnish;english
Viestejä kurssin aikana.;Messages during the course.
Lähettäjä;Sender
Vastaanottaja;Recipient
Aihe;Subject
Opiskelija;Student
Opettaja;Teacher
Moodlen kurssiavain?;Moodle course key?
Mikä on Moodlen kurssiavain?;What is the Moodle course key?
Kiitos ja nähdään huomenna tunnilla!;Thank you and see you tomorrow in class!
Terveisin;Best regards
ryhmä;group
Milloin meillä on puhetesti?;When do we have the speaking test?
Kiitos tiedosta!;Thank you for the information!
missä Tampereella on hyvä suomalainen ravintola?;where is a good Finnish restaurant in Tampere?
Kiitos avusta!;Thanks for help!
Hyvää viikonloppua!;Happy weekend!
