Finnish;English
Mitä sä harrastat?; What are your hobbies?
Lue keskustelu ja käännä se sanaston avulla.;Read the conversation and translate it with the help of the vocabulary. 
harrastaa;to have as a hobby
harrastat;you have as a hobby
Onko sinulla hetki aikaa?;Do you have a moment?
öö, tota;erm (used when processing)
toimittaja;journalist
olla töissä;to work (somewhere)
olen töissä;I work (somewhere)
tehdä;to do, to make 
teen;I do, I make
gallup;poll, survey
Voisinko kysyä jotain?;May I ask something? 
totta kai;sure
no;well
liikunta;physical exercise
tanssiminen;dancing
uinti;swimming
sulkapallo;badminton
lukeminen;reading
sitten;then
Mikä on toimittajan nimi?;What is the name of the journalist?
Missä hän on töissä?;Where does he work?
Mitä toimittaja tekee yliopistolla?;What does a journalist do at university?
Mitä Vilma harrastaa?;What does Vilma do (hobbies)?
Milloin haastattelu on lehdessä?;When is the interview in the newspaper?
Mikä on lehden nimi?;What is the name of the magazine?
musiikin kuunteleminen; listening to music
ruoanlaitto;cooking
Minä syön vihreää pastaa.; I'm eating green pasta.
Hän puhuu italiaa.; S/he speaks Italian.
Minulla on kaksi sinistä kynää.; I have two blue pencils/pens. 
Suomessa asuu 5,5 miljoonaa ihmistä.; 5.5 million people live in Finland. 
3D-tulostaminen;3D printing
Laserleikkaus;Laser cutting
seinäkiipeily;wall climbing
Minä harrastan lukemista ja ruoanlaittoa.;My hobbies are reading and cooking. 
