Finnish;english;hungarian
Bangladeshista;from Bangladesh;Bangladesből
Sri Lankasta;From Sri Lanka;Sri Lankáról
Intiasta;from India;Indiából
Nigeriasta;from Nigeria;Nigériából
Iranista;from Iran;Iránból
Egyptistä;from Egypt;Egyiptomból
Japanista;from Japan;Japánból
Panamasta;From Panama;Panamából
Ranskasta;from France;Franciaországból
Ukrainasta;from Ukraine;Ukrajnából
Saksasta;from Germany;Németországból
Unkarista;From Hungary;Magyarországról
Kiinasta;From China;Kínából
Venäjältä;from Russia;Oroszországból
Pakistanista;from Pakistan;Pakisztánból
Vietnamista;From Vietnam;Vietnamból
