Finnish;english
Kuka sä olet?;Who are you?
Mikä sun nimi on?;What is your name?
Paljonko kello on?;What's the time?
Minkämaalainen sä olet?;What nationality are you?
Mitä sä harrastat?;What is your hobby?
Missä sä asut?;Where do you live?
Minkävärinen on porkkana?;What color is the carrot?
Kenen kynä tämä on?;Whose pen is this?
Mistä maasta sä olet kotoisin?;What country are you from?
Kuinka vanha sä olet?;how old are you
Milloin sä opiskelet suomea?;When will you study Finnish?
Miksi sinulla on kiire?;Why are you in a hurry?
Miten se kirjoitetaan?;How is it written?
Kuka;Who?
Mikä;What? (basic form)
Mitä;What? (partitive)
Missä;Where?
Mistä;Where from?
Milloin;When?
Minkämaalainen;Which nationality?
Minkävärinen;What colour?
Kuinka, Miten;How?
Paljonko;How much?
Kenen;Whose?
Miksi;Why?
Missä Oskari opiskelee?;Where does Oskari study
Kuka on Daniela?;Who is Daniela
Puhuuko Daniela suomea?; Can Daniela speak Finnish
