Finnish;English
mutta;but 
koska;because 
kauppatieteet;business Studies 
kauppatieteitä;business Studies (partitive plural)
ensimmäisen vuoden;first-year
tutkinto-opiskelija;degree student
myös;also, too
keskusta;city centre
keskustassa;in the city centre
Tuomiokirkonkatu;Tuomiokirkonkatu Street
tuomiokirkko;cathedral
katu;Street
kadulla;in the Street
Keskustakampus;City Centre Campus
lähellä;near, close
Keskustakampuksen lähellä;near, close to City Centre Campus
tyttöystävä;girlfriend
hänen;her/his
ohjelma;programme
ohjelmassa;in the programme	
kurssi;course
kurssilla;on the course
jo;already
aika;here: quite. rather
hyvin;well
yhdessä;together
joskus;sometimes
arkisin;on weekdays, on	workdays
paljon;a lot, much
illalla;in the evening
käydä;to go, to visit
käymme;we go, we visit
usein;often
käydä lenkillä;to go for a run
käydä salilla;to go to the gym
harrastaa;to have as a hobby
ruoanlaitto;cooking
lauantaisin;on Saturdays
olla töissä;to work (somewhere)
olen töissä;I work (somewhere)
urheilukauppa;sports shop
urheilukaupassa;at a sports shop 
IT-firma;IT company
IT-firmassa;at an IT company
lauantai-iltana;on Saturday evening
rentoutua;to relax, to chili out
me rentoudumme;we relax, we chili out
baari;bar
tai;or
katsoa Netflixiä;to watch, to look = Nettlix (partitive) 
kotona;at home 
vanhemmat;parents
iso;big, large
perhe;family
äiti;mother
isä;father
sisko;sister
isosisko;big sister
veli;brother
pikkuveli;little brother
pikkuveljeä;little brother (partitivi)
pieni;small, little
valkoinen;white
kissa;cat
isoäiti;grondmother
isoisä;grandfather
monta;many
täti;aunt
eno;uncle (mother's brother) 
setä;uncle  (father's brother) 
serkku;cousin
