Finnish;English;Finnish (STEM)
OSTAA; to buy;-
(minä) ostan; I buy;OSTAA
(sinä) ostat; You (singular) buy;OSTAA
(hän) ostaa; He/she/it buys;OSTAA
(me) ostamme; We buy;OSTAA
(te) ostatte; You (plural) buy;OSTAA
(he) ostavat; They buy;OSTAA

ISTUA; to sit;-
(minä) istun; I sit;ISTUA
(sinä) istut; You (singular) sit;ISTUA
(hän) istuu; He/she/it sits;ISTUA
(me) istumme; We sit;ISTUA
(te) istutte; You (plural) sit;ISTUA
(he) istuvat; They sit;ISTUA

SANOA; to say;-
(minä) sanon; I say;SANOA
(sinä) sanot; You (singular) say;SANOA
(hän) sanoo; He/she/it says;SANOA
(me) sanomme; We say;SANOA
(te) sanotte; You (plural) say;SANOA
(he) sanovat; They say;SANOA

SEISOA; to stand;-
(minä) seison; I stand;SEISOA
(sinä) seisot; You (singular) stand;SEISOA
(hän) seisoo; He/she/it stands;SEISOA
(me) seisomme; We stand ;SEISOA
(te) seisotte; You (plural) stand;SEISOA
(he) seisovat; They stand;SEISOA

MATKUSTAA; to travel;-
(minä) matkustan; I travel;MATKUSTAA
(sinä) matkustat; You (singular) travel;MATKUSTAA
(hän) matkustaa; He/she/it travels;MATKUSTAA
(me) matkustamme; We travel;MATKUSTAA
(te) matkustatte; You (plural) travel;MATKUSTAA
(he) matkustavat; They travel;MATKUSTAA

AJAA; to drive, to ride;-
(minä) ajan; I drive;AJAA
(sinä) ajat; You (singular) drive;AJAA
(hän) ajaa; He/she/it drives;AJAA
(me) ajamme; We drive;AJAA
(te) ajatte; You (plural) drive;AJAA
(he) ajavat; They drive;AJAA

KÄYDÄ; to go, to visit;-
(minä) käyn; I go;KÄYDÄ
(sinä) käyt; You (singular) go;KÄYDÄ
(hän) käy; He/she/it goes;KÄYDÄ
(me) käymme; We go;KÄYDÄ
(te) käytte; You (plural) go;KÄYDÄ
(he) käyvät; They go;KÄYDÄ

SAADA; to get, to receive;-
(minä) saan; I get;SAADA
(sinä) saat; You (singular) get;SAADA
(hän) saa; He/she/it gets;SAADA
(me) saamme; We get;SAADA
(te) saatte; You (plural) get;SAADA
(he) saavat; They get;SAADA

VOIDA; can, to be able;-
(minä) voin; I can;VOIDA
(sinä) voit; You (singular) can;VOIDA
(hän) voi; He/she/it can;VOIDA
(me) voimme; We can;VOIDA
(te) voitte; You (plural) can;VOIDA
(he) voivat; They can;VOIDA

KÄVELLÄ; to walk;-
(minä) kävelen; I walk;KÄVELLÄ
(sinä) kävelet; You (singular) walk;KÄVELLÄ
(hän) kävelee; He/she/it walks;KÄVELLÄ
(me) kävelemme; We walk;KÄVELLÄ
(te) kävelette; You (plural) walk;KÄVELLÄ
(he) kävelevät; They walk;KÄVELLÄ

PYÖRÄILLÄ; to ride a bike, to bicycle;-
(minä) pyöräilen; I ride a bike;PYÖRÄILLÄ
(sinä) pyöräilet; You (singular) ride a bike;PYÖRÄILLÄ
(hän) pyöräilee; He/she/it rides a bike;PYÖRÄILLÄ
(me) pyöräilemme; We ride a bike;PYÖRÄILLÄ
(te) pyöräilette; You (plural) ride a bike;PYÖRÄILLÄ
(he) pyöräilevät; They ride a bike;PYÖRÄILLÄ

PESTÄ; to wash;-
(minä) pesen; I wash;PESTÄ
(sinä) peset; You (singular) wash;PESTÄ
