Finnish;English
OSTAA; to buy
ISTUA; to sit
SANOA; to say
SEISOA; to stand
MATKUSTAA; to travel
AJAA; to drive, to ride
KÄYDÄ; to go, to visit
SAADA; to get, to receive
VOIDA; can, to be able
KÄVELLÄ; to walk
PYÖRÄILLÄ; to ride a bike, to bicycle
PESTÄ; to wash
HALUTA; to want
HERÄTÄ; to wake up
PELATA; to play (games or sports)
AVATA; to open
SIIVOTA; to clean
TARVITA; to need
VALITA; to choose
HÄIRITÄ; to disturb
OLLA; to be
TEHDÄ; to do, to make
NÄHDÄ; to see
JUOSTA; to run
OTTAA; to take
KIRJOITTAA; to write
SOITTAA; to play (a musical instrument), to call
NUKKUA; to sleep
RENTOUTUA; to relax, to chill out
PITÄÄ; to like, to hold…
YMMÄRTÄÄ; to understand
AJATELLA; to think
KUUNNELLA; to listen
TYKÄTÄ; to like
PAKATA; to pack
TAVATA; to meet
