Finnish;Finnish (Ablative);hungarian
kala;kalalta;hal
talo;talolta;ház
työ;työltä;munka
radio;radiolta;rádió
huone;huoneelta;szoba
kappale;kappaleelta;bekezdés
lentokone;lentokoneelta;repülőgép
parveke;parvekkeelta;erkély
banaani;banaanilta;banán
kahvi;kahvilta;kávé
posti;postilta;postai
tili;tililtä;fiókot
ovi;ovelta;ajtó
suomi;suomelta;Finnország
pilvi;pilveltä;felhő
lehti;lehdeltä;Magazin
joki;joelta;folyó
uusi;uudelta;új
käsi;kädeltä;kéz
vesi;vedeltä;víz
nainen;naiselta;nő
suomalainen;suomalaiselta;Finn
iloinen;iloiselta;vidám
sininen;siniseltä;kék
rakas;rakkaalta;Szerelem
taivas;taivaalta;ég
opas;oppaalta;útmutató
kallis;kalliilta;drága
kaunis;kauniilta;gyönyörű
kauris;kauriilta;Bak
ruis;rukiilta;rozs
ostos;ostokselta;Vásárlás
piirros;piirokselta;rajz
annos;annokselta;dózis
mahdollisuus;mahdollisuudelta;lehetőség
rakkaus;rakkaudelta;szerelem
ystävyys;ystävyydeltä;barátság
pimeys;pimeydeltä;sötétség
työtön;työttömältä;munkanélküli
rahaton;rahattomalta;nincstelen
maidoton;maidottomalta;tejmentes
puhelin;puhelimelta;telefon
avain;avaimelta;kulcs
puhallin;puhaltimelta;ventilátor
kevyt;kevyeltä;fény
olut;oluelta;sör
ohut;ohuelta;vékony
tytär;tyttäreltä;lánya
herttuatar;herttuattarelta;hercegnő
Jonathan;Jonathanilta;Jonathan
William;Williamilta;Vilmos
Marian;Marianilta;Marian
Mohamed;Mohamedilta;Mohamed
tyttö;tytöltä;lány
puku;puvulta;öltöny
hattu;hatulta;kalap
silta;sillalta;híd
hiekka;hiekalta;homok
savuke;savukkeelta;cigaretta
keitin;keittimeltä;tűzhely
soitin;soittimelta;hangszer
allas;altaalta;kád
tyyny;tyynyltä;párna
seinä;seinältä;fal
melu;melulta;zaj
puu;puulta;faipari
perhe;perheeltä;család
kirje;kirjeeltä;levél
taide;taiteelta;Művészet
koe;kokeelta;teszt
paperi;paperilta;papír
pankki;pankilta;bank
maali;maalilta;festék
adverbi;adverbilta;határozószó
suuri;suurelta;nagy
pieni;pieneltä;kicsi
veri;vereltä;vér
huuli;huulelta;ajak
lohi;lohelta;lazac
vuosi;vuodelta;év
kuukausi;kuukaudelta;hónap
reisi;reideltä;comb
hevonen;hevoselta;ló
eteinen;eteiseltä;folyosó
ihminen;ihmiseltä;Férfi
toinen;toiselta;második
rikas;rikkaalta;gazdag
lipas;lippaalta;magazin
itsekäs;itsekkäältä;önző
roskis;roskikselta;szemét
kirppis;kirppikseltä;bolha
fiilis;fiilikseltä;vibrafon
futis;futikselta;futball
jäljennös;jäljennökseltä;másolat
käännös;käännökseltä;fordítás
luonnos;luonnokselta;tervezet
vastaus;vastaukselta;válasz
kysymys;kysymykseltä;kérdés
keskus;keskukselta;központi
tarjous;tarjoukselta;ajánlat
koditon;kodittomalta;hajléktalan
rasvaton;rasvattomalta;nem zsíros
alkoholiton;alkoholittomalta;alkoholmentes
kiharrin;kihartimelta;sütővas
suoritin;suorittimelta;processzor
väsynyt;väsyneeltä;fáradt
ollut;olleelta;volt
mennyt;menneeltä;elmúlt
kuningatar;kuningattarelta;királynő
jumalatar;jumalattarelta;istennő
Facebook;Facebookilta;Facebook
Windows;Windowsilta;ablakok
Steam;Steamilta;Gőz
McDonalds;McDonaldsilta;Mcdonald's
pöytä;pöydältä;asztal
kauppa;kaupalta;kereskedelmi
kampa;kammalta;fésű
apu;avulta;Segítség
tavoite;tavoitteelta;cél
hammas;hampaalta;fog
