Finnish;English
aamupala;breakfast
tarjoilla;to serve
(*)tarjoillaan; (*)is served
ravintola; restaurant
toinen;second
kerros;floor
päästä;to get
sinne;(to) there
hissi;elevator
ulos;(to) out
kääntyä;to turn
oikea, oikealle;right, to the right
kävellä;to walk
käytävä;corridor
suoraan;directly

päässä;at the end
tarvita;to need
(*)tarvitsisin;I would need
tieto;information
vetyteknologia;hydrogen technology
löytää;to find
materiaali;material
hylly;shelf

kolmas;third
eli;in other words
yläkerta;upstairs
vasen, vasemmalle;left, to the left
heti;immediately
portaiden (portaat);of the stairs (stairs)
jälkeen;after
ostaa;to buy
netti;the net
käyttäjätunnus;username
nettipankki;internet bank
auttaa;to help
luoda;to create
kirjautua sisään;to log in
valita;to choose
ladata;to download
sovellus;application
aloittaa;to start
(*)aloitetaanpa sitten;well, let's start then
