Finnish;Finnish (Illative);hungarian
kala;kalaan;hal
talo;taloon;ház
söpö;söpöön;aranyos
hylly;hyllyyn;polc
radio;radioon;rádió
allergia;allergiaan;allergia
video;videoon;videó
Italia;Italiaan;Olaszország
vihreä;vihreään;zöld
työ;työhön;munka
kuu;kuuhun;Hold
maa;maahan;én
sää;säähän;időjárás
keskiyö;keskiyöhön;éjfél
takuu;takuuseen;garancia
sampoo;sampooseen;sampon
Espoo;Espooseen;Espoo
Lontoo;Lontooseen;London
huone;huoneeseen;szoba
kirje;kirjeeseen;levél
kappale;kappaleeseen;bekezdés
banaani;banaaniin;banán
kahvi;kahviin;kávé
posti;postiin;postai
tili;tiliin;fiókot
ovi;oveen;ajtó
suomi;suomeen;Finnország
pilvi;pilveen;felhő
lehti;lehteen;Magazin
joki;jokeen;folyó
uusi;uuteen;új
käsi;käteen;kéz
vesi;veteen;víz
nainen;naiseen;nő
suomalainen;suomalaiseen;Finn
iloinen;iloiseen;vidám
sininen;siniseen;kék
tavallinen;tavalliseen;szokásos
rakas;rakkaaseen;Szerelem
taivas;taivaaseen;ég
opas;oppaaseen;útmutató
kallis;kalliiseen;drága
kaunis;kauniiseen;gyönyörű
kauris;kauriiseen;Bak
ruis;rukiiseen;rozs
mahdollisuus;mahdollisuuteen;lehetőség
rakkaus;rakkauteen;szerelem
ystävyys;ystävyyteen;barátság
pimeys;pimeyteen;sötétség
työtön;työttömään;munkanélküli
rahaton;rahattomaan;nincstelen
maidoton;maidottomaan;tejmentes
puhelin;puhelimeen;telefon
avain;avaimeen;kulcs
keitin;keittimeen;tűzhely
kevyt;kevyeen;fény
olut;olueen;sör
ohut;ohueen;vékony
tytär;tyttäreen;lánya
herttuatar;herttuattareen;hercegnő
Jonathan;Jonathaniin;Jonathan
William;Williamiin;Vilmos
Marian;Marianiin;Marian
Mohamed;Mohamediin;Mohamed
tyttö;tyttöön;lány
puku;pukuun;öltöny
hattu;hattuun;kalap
silta;siltaan;híd
hiekka;hiekkaan;homok
savuke;savukkeeseen;cigaretta
soitin;soittimeen;hangszer
allas;altaaseen;kád
tyyny;tyynyyn;párna
seinä;seinään;fal
melu;meluun;zaj
pallo;palloon;labda
museo;museoon;múzeum
televisio;televisioon;tévé
kapea;kapeaan;keskeny
Aasia;Aasiaan;Ázsia
ruskea;ruskeaan;barna
pää;päähän;fej
tie;tiehen;út
suu;suuhun;száj
yö;yöhön;éjszaka
rakennusmaa;rakennusmaahan;építési telek
hakkuu;hakkuuseen;fakitermelés
vastuu;vastuuseen;felelősség
harmaa;harmaaseen;szürke
palttoo;palttooseen;égő
osoite;osoitteeseen;cím
perhe;perheeseen;család
pidike;pidikkeeseen;tartó
tiede;tieteeseen;tudomány
paperi;paperiin;papír
pankki;pankkiin;bank
maali;maaliin;festék
adverbi;adverbiin;határozószó
suuri;suureen;nagy
pieni;pieneen;Kicsi
veri;vereen;vér
huuli;huuleen;ajak
lohi;loheen;lazac
vuosi;vuoteen;év
kuukausi;kuukauteen;hónap
reisi;reiteen;comb
hevonen;hevoseen;ló
eteinen;eteiseen;folyosó
ihminen;ihmiseen;Férfi
toinen;toiseen;második
pikkuinen;pikkuiseen;kicsi
rikas;rikkaaseen;gazdag
lipas;lippaaseen;magazin
vieras;vieraaseen;vendég
roskis;roskikseen;szemét
kirppis;kirppikseen;bolha
fiilis;fiilikseen;vibrafon
futis;futikseen;futball
vastaus;vastaukseen;válasz
kysymys;kysymykseen;kérdés
keskus;keskukseen;központi
tarjous;tarjoukseen;ajánlat
koditon;kodittomaan;hajléktalan
rasvaton;rasvattomaan;nem zsíros
alkoholiton;alkoholittomaan;alkoholmentes
kiharrin;kihartimeen;sütővas
leivänpaahdin;leivänpaahtimeen;kenyérpirító
tuuletin;tuulettimeen;ventilátor
väsynyt;väsyneeseen;fáradt
ollut;olleeseen;volt
mennyt;menneeseen;elmúlt
kuningatar;kuningattareen;királynő
jumalatar;jumalattareen;istennő
Facebook;Facebookiin;Facebook
Windows;Windowsiin;ablakok
Steam;Steamiin;Gőz
McDonalds;McDonaldsiin;Mcdonald's
pöytä;pöytään;asztal
kauppa;kauppaan;kereskedelmi
kampa;kampaan;fésű
apu;apuun;Segítség
tavoite;tavoitteeseen;cél
hammas;hampaaseen;fog
