Finnish (STRONG grade);Finnish (WEAK grade);Finnish;Finnish (where);Finnish (to where);Finnish (from where);English
kk;k;luokka;luokassa;luokasta;luokkaan;class(room)
pp;p;kauppa;kaupassa;kaupasta;kauppaan;shop
tt;t;matto;matolla;matolta;matolle;carpet

k ;-;Lukonmäki;Lukonmäessä;Lukonmäestä;Lukonmäkeen;Lukonmäki
p;v;leipä;leivässä;leivästä;leipään;bread
t;d;pöytä;pöydällä;pöydältä;pöydälle;table

nk;ng;Helsinki;Helsingissä;Helsingistä;Helsinkiin;Helsinki
mp;mm;lampi;lammessa;lammesta;lampeen;pond
lt;ll;silta;sillalla;sillalta;sillalle;bridge
nt;nn;Hervanta;Hervannassa;Hervannasta;Hervantaan;Hervanta
rt;rr;parta;parrassa;parrasta;partaan;beard

k;v ;suku;suvussa;suvusta;sukuun;family
lk;lj;jälki;jäljessä;jäljestä;jälkeen;track
