Finnish;english
LUOKKAHUONESANASTOA;CLASSROOM VOCABULARY
(Anteeksi,) voisitko sä toistaa?;(Sorry,) could you repeat?
(Anteeksi mutta) nyt mä en ymmärrä.;(Sorry but) now I don't understand.
Mitä X on suomeksi / englanniksi?;What is X in Finnish / English?
Mitä X tarkoittaa?;What does X mean?
Voisitko(han) selittää, mitä / miksi...;I wonder if you could explain what  /why...
Puhun suomea kotona;I speak Finnish at home
Puhun suomea töissä / työssä;I speak Finnish at work
Puhun suomea kaupassa;I speak Finnish in the shop
Puhun suomea kaupungilla;I speak Finnish in the city
Puhun suomea ystävien kanssa;I speak Finnish with friends
Puhun suomea yliopistolla;I speak Finnish at university
Puhun suomea;I speak Finnish
Luen suomeksi mainoksia;I read advertisements in Finnish
Luen suomeksi viestejä;I read messages in Finnish
Luen suomeksi sähköpostia;I read email in Finnish
Luen suomeksi lehtiä;I read newspapers in Finnish
Luen suomeksi;I read in Finnish
Kirjoitan suomeksi viestejä;I write messages in Finnish
Kirjoitan suomeksi sähköpostia;I write e-mails in Finnish
Kirjoitan suomeksi;I write in Finnish
Kuuntelen suomeksi radiota;I listen to the radio in Finnish
Kuuntelen / katson suomeksi televisiota;I listen / watch TV in Finnish
Kuuntelen suomeksi;I listen in Finnish
päivittäin, joka päivä;daily, every day
viikoittain, joka viikko;weekly, every week
kuukausittain, joka kuukausi;monthly, every month

Mitä tehdään?;What is done?
Luetaan!;Let's read!
Kuunnellaan!;Let's listen!
Opitaan!;Let's learn!
Harjoitellaan!;Let's practise!
Kerrataan!;Let's review!
Keskustellaan (+ sta/stä);Let's discuss!
Tarkastetaan / katsotaan kotitehtävät!;Let's check homework!
Mikä ohje?;What instruction?
Käännä suomesta englantiin.;Translate from Finnish into English.
Etsi joku, joka...;Find someone who...
Kerro (+ -sta/-stä);Tell (about sth)
Keskustele (+ -sta/-stä);Discuss
Opettele ulkoa.;Learn by heart.
Muuta;Other
seuraavaksi;next
sitten;then
sen jälkeen;after that
yhdessä;together
Kenen vuoro?;Whose turn?
pari;partner
parin kanssa;with the partner
ryhmä;group
ryhmän kanssa;with the group
MISSÄ KÄYTÄT SUOMEA?;WHERE DO YOU USE FINNISH? 
Merkitse rastilla.;Mark with an X. 

joka;every
harvoin;seldom, rarely
en koskaan;(I) never
kotona;at home
tunti;hour
kaupunki;town, city
kaupungilla;on the town
ystävien kanssa;with friends
mainos, mainoksia;advertisement(s)
viesti, viestejä;message(s)
sähköposti;email
lehti, lehtiä;newspaper(s), magazine(s)
uutissivusto;news website
Luen uutisia netistä;I read news online
(inter)netti;internet
