Finnish;English;hungarian
Olen kaupassa.;I'm in a/the store.;a boltban vagyok.
Tulen kaupasta.;I come from a/the store.;a boltból jövök.
Menen kauppaan.;I go to a/the store.;Elmegyek a boltba.
Olen koulussa.;I'm in/at school.;Iskolában vagyok.
Tulen koulusta.;I come from a/the school.;Iskolából jövök.
Menen kouluun.;I go to a/the school.;Iskolába járok.
Asun Suomessa.;I live in Finland.;Finnországban élek.
Tulen Suomesta.;I come from Finland.;Finnországból származom.
Menen Suomeen.;I go to Finland.;Finnországba megyek.
Olen asemalla.;I'm at a/the station.;az állomáson vagyok.
Tulen asemalta.;I come from a/the station.;az állomásról jövök.
Menen asemalle.;I go to a/the station.;Megyek az állomásra.
Olen kioskilla.;I'm at a/the kiosk.;a kioszkban vagyok.
Tulen kioskilta.;I come from a/the kiosk.;A kioszkból jövök.
Menen kioskille.;I go to a/the kiosk;Megyek a kioszkhoz.
Olen kadulla.;I'm on the street.;az utcán vagyok.
Tulen kadulta.;I come from the street.;az utcáról jövök.
Menen kadulle.;I go to the street.;kimegyek az utcára.
Leipä on kaapissa.;The bread is in the cupboard.;A kenyér a szekrényben van.
Me asumme Suomessa.;We live in Finland.;Finnországban élünk.
Kirjastossa on tänään paljon ihmisiä.;There are many people in the library today.;Sokan vannak ma a könyvtárban.
Katja Lehtinen puhelimessa.;Katja Lehtinen on (“in”) the telephone.;Katja Lehtinen telefonál.
Istumme pöydässä.;We sit at (“in”) the table.;Az asztalnál ülünk.
Sormus on sormessa.;The ring is on (“in”) the finger.;A gyűrű az ujján van.
Kenkä on jalassa.;The shoe is on (“in”) the foot.;A cipő rajta van.
Käsineet ovat käsissä.;The gloves are on (“in”) the hands.;A kesztyűk rajta vannak.
Asunnossa on ikkuna.;The apartment has a window.;A lakás ablakos.
Kirjassa on yli 300 sivua.;The book has over 300 pages.;A könyv több mint 300 oldalas.
Autossa on neljä rengasta.;The car has four wheels.;Az autónak négy gumija van.
Pöydässä on neljä jalkaa.;The table has four legs.;Az asztalnak négy lába van.
Minä käyn kaupassa.;I visit the store.;Elugrok a boltba.
Me kävimme Suomessa.;We visited Finland.;Finnországban jártunk.
Minä käyn suihkussa.;I go have a shower.;Lezuhanyzom.
Sanna kävi vessassa.;Sanna went to the toilet.;Sanna kiment a wc-re.
joulukuussa;in December;decemberben
kerran vuodessa;once a year;évente egyszer
kolme kertaa päivässä;three times a day;háromszor egy nap
viidessä minuutissa;in five minutes;öt perc alatt
kerran kuussa;once a month;havonta egyszer
Olen lukemassa.;I'm reading.;Olvasok.
Olin lukemassa.;I was reading.;Olvastam.
Olitteko nukkumassa?;Were you sleeping?;Aludtál?
Istuin pitkään lukemassa.;I sat and read for a long time.;Sokáig ültem és olvastam.
Ovi on jumissa.;The door is stuck.;Az ajtó beragadt.
Anne on oikeassa.;Anne is right.;Anne-nek igaza van.
Käteni ovat jäässä.;My hands are frozen.;Lefagyott a kezem.
Vessa on tukossa.;The toilet is stuck.;A WC le van zárva.
Mies on väsyksissä.;The man is tired.;A férfi fáradt.
Käsi on turvoksissa.;The hand is swollen.;A kéz feldagadt.
Työ on seisauksissa.;Work is at a standstill.;A munka leáll.
Tuon lahjat tullessani.;I bring the presents when I'm coming.;Ha jövök, hozom az ajándékokat.
Laulan siivotessani.;I sing while cleaning.;Énekelek, miközben takarítok.
Siivottaessa kannattaa laulaa.;One should sing while cleaning.;Takarítás közben énekelni kell.
Imuroidessani hyräilen.;I hum while vacuum cleaning.;Porszívózáskor dúdolok.
Otan leivän kaapista.;I take the bread [from the cupboard].;Kiveszem a kenyeret a szekrényből.
Me tulemme Suomesta.;We come [from Finland].;Finnországból jövünk.
Minä olen kotoisin Argentiinasta.;I originate [from Argentina].;Argentínából vagyok.
Minusta suklaa on liian makeaa.;[In my opinion], chocolate is too sweet.;Szerintem a csokoládé túl édes.
Leenasta tämä on kivaa.;[In Leena's opinion] this is great.;Ez kedves Leenától.
