Finnish;english;hungarian
Pilvi on auringon edessä.;The cloud is in front of the sun.;A felhő a nap előtt van.
Aurinko on pilven takana.;The sun is behind a cloud.;A nap egy felhő mögött van.
Kissa on pöydällä.;The cat is on the table.;A macska az asztalon van.
Kissa on television päällä.;The cat is on the TV.;A macska a tévén van.
Kissa on pöydän alla.;Cat is under the table.;Macska az asztal alatt.
Kissa on television lähellä.;The cat is near the TV.;A macska a tévé közelében van.
Kissa on television ja pöydän välissä.;The cat is between the TV and the table.;A macska a tévé és az asztal között van.
Kissa on television vieressä.;The cat is next to the TV.;A macska a tévé mellett van.
Kissa on television oikealla puolella.;The cat is to the right of the TV.;A macska a TV jobb oldalán van.
Kissa on television vasemmalla puolella.;The cat is to the left of the TV.;A macska a TV bal oldalán van.
Tuoli on huoneen keskellä.;The chair is in the middle of the room.;A szék a szoba közepén van.
edessä;in front of;előtt
takana;behind;mögött
päällä;on;fölött
alla;below;alatt
lähellä;near;közel
välissä;between;között
vieressä;next to;mellett
oikealla puolella;on the right side;a jobb oldalon
vasemmalla puolella;on the left side;a bal oldalon
keskellä;in the middle;középen
