Finnish;english;hungarian
tuoli;chair;szék
pöytä;table;asztal
ikkuna;window;ablak
verhot;curtains;drapériák
kaappi;cabinet;szekrény
lamppu;a lamp;lámpa
jalkalamppu;foot lamp, standing lamp;láblámpa
matto;carpet;szőnyeg
suihku;shower;zuhany
kirjahylly;bookcase;könyvszekrény
nojatuoli;armchair;fotel
sohva;sofa;kanapé
sänky;bed;ágy
roskakori (roskis);dustbin (garbage);szemetes (szemét)
avain;key;kulcs
jääkaappi;fridge;hűtő
hella;kitchen stove;szerető
uuni;oven;sütő
mikro(aaltouuni);microwave oven;mikrohullámú sütő
tiskikone / astianpesukone;dishwasher / dishwasher;mosogatógép / mosogatógép
pullonavaaja;bottle opener;sörnyitó
pakastin;freezer;mélyhűtő
(pyykin)pesukone;(washing machine;(mosógép
(pölyn)imuri;(vacuum cleaner;(porszívó
kahvinkeitin;coffee maker;kávéfőző
leivänpaahdin;toaster;kenyérpirító
stereot;stereo;sztereó
radio;radio;rádió
televisio (TV, telkkari);television (TV, telly);televízió (TV, tévé)
silitysrauta;iron;Vas
ompelukone;sewing machine;varrógép
tietokone;computer;számítógép
partakone;razor;borotva
hammasharja;toothbrush;fogkefe
(hius)harja;hair brush (many layers);(hajkefe
kampa;comb (1 layer);fésű
hiustenkuivaaja / hiustenkuivain (fööni);hair dryer / hair dryer (hair dryer);hajszárító / hajszárító (hajszárító)
kattila;saucepan;lábas
paistinpannu;frying pan;serpenyő
lusikka (lusikoita);spoon(s);kanál(ok)
haarukka (haarukoita);fork(s);villa(k)
veitsi (veitsiä);knife (knives);kés (kések)
lautanen (lautasia);plate (plates);tányér (tányérok)
kannu;jug;kancsó
lasi (laseja);glass (glasses);üveg (szemüveg)
muki (mukeja);Mug(s);bögre(k)
kuppi (kuppeja);cup(s);pohár(ok)
eteinen;hallway;folyosó
makuuhuone;bedroom;hálószoba
wc, vessa;WC, toilet;WC, wc
työhuone;office;hivatal
lastenhuone;nursery;óvoda
parveke (p);balcony;erkély
ranskalainen parveke (rp);french balcony;francia erkély
sauna (s);sauna;szauna
keittiö (k);kitchen;konyha
makuuhuone (mh);bedroom (master bedroom);hálószoba (nagy hálószoba)
olohuone (oh);living room;nappali
vaatehuone (vh);dressing room;öltöző
kylpyhuone (kph);bathroom;fürdőszoba
kerrostalo (kt);apartment building;bérház
rivitalo (rt);terraced house;sorház
omakotitalo (okt);detached house;családi ház
hissi;Elevator;Lift
parkkipaikka;parking;parkolás
rappu(käytävä);stairs (corridor);lépcsők (folyosó)
omistusasunto;ownership apartment;tulajdonú lakás
vuokra-asunto;rental apartment;bérlakás
asua vuokralla;live on rent;albérletből élni
vuokralainen;tenant;bérlő
vuokranantaja;lessor;bérbeadó
opiskelija-asunto;student apartment;diáklakás
soluasunto;cell housing;sejtház
Olen kotona.;I'm at home.;Otthon vagyok.
Tulen kotoa.;I come from home.;otthonról jövök.
Menen kotiin.;I'm going home.;Hazamegyek.
Minun makuuhuoneessa on sänky ja pieni pöytä.;My bedroom has a bed and a small table.;A hálószobámban van egy ágy és egy kis asztal.
Keittiössä on pöytä ja kolme tuolia.;The kitchen has a table and three chairs.;A konyhában egy asztal és három szék található.
Olohuoneessa on sohva, televisio ja kirjahylly.;The living room has a sofa, a television and a bookshelf.;A nappaliban kanapé, televízió és könyvespolc található.
Lattialla on matto.;There is a carpet on the floor.;A padlón szőnyeg van.
Talossa on viisi kerrosta.;The house has five floors.;A ház ötszintes.
Asunnossa on sauna ja parveke.;The apartment has a sauna and a balcony.;Az apartmanhoz szauna és erkély tartozik.
Kaupungissa asuu paljon ihmisiä.;A lot of people live in the city.;Nagyon sokan élnek a városban.
suuri;large;nagy
pieni;small;kicsi
valoisa;bright;fényes
viihtyisä;cozy;otthonos
kodikas;homely;kényelmes
uusi;new;új
vanha;old;régi
kaunis;beautiful;gyönyörű
ruma;ugly;csúnya
moderni;modern;modern
kiva;nice;szép
