Finnish;English
vapaa-aika;free time
matkustaminen;travelling
matkustaa;to travel
kesällä;in the summer
koska;because
serkku;cousin
siellä;there
lähellä;near
Tukholma;Stockholm
laiva;boat
laivalla;by boat
bussi;bus
pari;a couple of
viikko;week
ajaa;to drive
auto;car
Tanska;Denmark
kautta;via, through
Pohjois;North
Saksa;Germany
käydä;to visit
turistikohde;tourist attraction
yöpyä;to stay the night
hotelli;hotel
matka;trip
kestää;to last
viesti;message
terkkuja (=terveisiä);greetings
me tultiin;we came (colloquial form)
tänne;(to) here
sitten;ago 

mennä, meni;to go, it went
hyvin;well
aurinko;the sun
paistaa;to shine
lämmin;warm
aste;degree
täällä;here
paljon näkemistä;a lot to see
ruoka;food
liite;attachment
liitteenä;as attachment
kuva;picture
kiva;nice
kesä;summer
jatko;continuation
sinne;(to) there 
