Finnish; English;hungarian
mainos, mainoksia; advertisement(s);reklám, reklámok
viesti, viestejä; message(s);üzenet, üzenetek
lehti, lehtiä; newspaper(s),magazine(s);levél, levelek
Ole hyvä, olkaa hyvä;Here you are, here you are;Kérlek, kérlek
Työnnä;Push;Tolni
Vedä;Pull from;Húzni
Odota tässä;Wait here;Várj itt
Hätätilanteessa riko lasi;In case of emergency break the glass;Vészhelyzetben törje be az üveget
Varo heikkoa jäätä;Beware of weak ice;Óvakodjon a gyenge jégtől
Tykkää / Kommentoi;Like / Comment;Tetszik / Komment
lusikka (lusikoita);spoon(s);kanál(ok)
haarukka (haarukoita);fork(s);villa(k)
veitsi (veitsiä);knife (knives);kés (kések)
lautanen (lautasia);plate (plates);tányér (tányérok)
kannu;jug;kancsó
lasi (laseja);glass (glasses);üveg (szemüveg)
muki (mukeja);Mug(s);bögre(k)
