Finnish;English
mihin; where to
olla menossa;to be going
just;just
tavata;to meet
kaupunki;town, city
kaupungilla;on the town
kirjakauppa;bookstore
tulla;to come
yliopisto; university
kotiin;(to) home
syömään;eating
mulla on, minulla on;I have
kamala;terrible
nälkä;hunger
itse asiassa;as a matter of fact
-kin;also, too
lähteä;to leave, to go
lähdetäänkö;shall we go
Lähdetään vaan.;Ok, let's go.
vai;or
haluaisitko;would you like to
ensin;first
käydä;to go, to visit
mennään;let's go
sitten;then
jälkiruoka;dessert
jälkiruoaksi;for dessert
eli;or, in other words
myös;also
jäätelö;ice cream
kioski;kiosk
selvä;ok, fine 
