Finnish;Hungarian
ensimmäinen / eka;1.
toinen / toka;2.
kolmas;3.
neljäs;4.
viides;5.
kuudes;6.
seitsemäs;7.
kahdeksas;8.
yhdeksäs;9.
kymmenes;10.
yhdestoista;11.
kahdestoista;12.
kolmastoista;13.
ensimmäisessä / ekassa kerroksessa;1. emeleten
toisessa / tokassa kerroksessa;2. emeleten
kolmannessa kerroksessa;3. emeleten
neljännessä kerroksessa;4. emeleten
viidennessä kerroksessa;5. emeleten
kuudennessa kerroksessa;6. emeleten
seitsemännessä kerroksessa;7. emeleten
kahdeksannessa kerroksessa;8. emeleten
yhdeksännessä kerroksessa;9. emeleten
kymmenennessä kerroksessa;10. emeleten
yhdennessätoista kerroksessa;11. emeleten
kahdennessatoista kerroksessa;12. emeleten
kolmannessatoista kerroksessa;13. emeleten
