Finnish (present);Finnish (imperfekti)
(minä) sanon;(minä) sanoin
(sinä) sanot;(sinä) sanoit
(hän) sanoo;(hän) sanoi
(me) sanomme;(me) sanoimme
(te) sanotte;(te) sanoitte
(he) sanovat;(he) sanoivat
(minä) nukun;(minä) nukuin
(sinä) nukut;(sinä) nukuit
(hän) nukkuu;(hän) nukkui
(me) nukumme;(me) nukuimme
(te) nukutte;(te) nukuitte
(he) nukkuvat;(he) nukkuivat
(minä) seison;(minä) seisoin
(sinä) seisot;(sinä) seisoit
(hän) seisoo;(hän) seisoi
(me) seisomme;(me) seisoimme
(te) seisotte;(te) seisoitte
(he) seisovat;(he) seisoivat
(minä) kysyn;(minä) kysyin
(sinä) kysyt;(sinä) kysyit
(hän) kysyy;(hän) kysyi
(me) kysymme;(me) kysyimme
(te) kysytte;(te) kysyitte
(he) kysyvät;(he) kysyivät
(minä) säästän;(minä) säästin
(sinä) säästät;(sinä) säästit
(hän) säästää;(hän) säästi
(me) säästämme;(me) säästimme
(te) säästätte;(te) säästitte
(he) säästävät;(he) säästivät
(minä) itken;(minä) itkin
(sinä) itket;(sinä) itkit
(hän) itkee;(hän) itki
(me) itkemme;(me) itkimme
(te) itkette;(te) itkitte
(he) itkevät;(he) itkivät
(minä) tanssin;(minä) tanssin
(sinä) tanssit;(sinä) tanssit
(hän) tanssii;(hän) tanssi
(me) tanssimme;(me) tanssimme
(te) tanssitte;(te) tanssitte
(he) tanssivat;(he) tanssivat
(minä) etsin;(minä) etsin
(sinä) etsit;(sinä) etsit
(hän) etsii;(hän) etsi
(me) etsimme;(me) etsimme
(te) etsitte;(te) etsitte
(he) etsivät;(he) etsivät
(minä) maksan;(minä) maksoin
(sinä) maksat;(sinä) maksoit
(hän) maksaa;(hän) maksoi
(me) maksamme;(me) maksoimme
(te) maksatte;(te) maksoitte
(he) maksavat;(he) maksoivat
(minä) annan;(minä) annoin
(sinä) annat;(sinä) annoit
(hän) antaa;(hän) antoi
(me) annamme;(me) annoimme
(te) annatte;(te) annoitte
(he) antavat;(he) antoivat
(minä) laulan;(minä) lauloin
(sinä) laulat;(sinä) lauloit
(hän) laulaa;(hän) lauloi
(me) laulamme;(me) lauloimme
(te) laulatte;(te) lauloitte
(he) laulavat;(he) lauloivat
(minä) ajan;(minä) ajoin
(sinä) ajat;(sinä) ajoit
(hän) ajaa;(hän) ajoi
(me) ajamme;(me) ajoimme
(te) ajatte;(te) ajoitte
(he) ajavat;(he) ajoivat
(minä) ostan;(minä) ostin
(sinä) ostat;(sinä) ostit
(hän) ostaa;(hän) osti
(me) ostamme;(me) ostimme
(te) ostatte;(te) ostitte
(he) ostavat;(he) ostivat
(minä) rakastan;(minä) rakastin
(sinä) rakastat;(sinä) rakastit
(hän) rakastaa;(hän) rakasti
(me) rakastamme;(me) rakastimme
(te) rakastatte;(te) rakastitte
(he) rakastavat;(he) rakastivat
(minä) muistan;(minä) muistin
(sinä) muistat;(sinä) muistit
(hän) muistaa;(hän) muisti
(me) muistamme;(me) muistimme
(te) muistatte;(te) muistitte
(he) muistavat;(he) muistivat
(minä) odotan;(minä) odotin
(sinä) odotat;(sinä) odotit
(hän) odottaa;(hän) odotti
(me) odotamme;(me) odotimme
(te) odotatte;(te) odotitte
(he) odottavat;(he) odottivat
(minä) lennän;(minä) lensin
(sinä) lennät;(sinä) lensit
(hän) lentää;(hän) lensi
(me) lennämme;(me) lensimme
(te) lennätte;(te) lensitte
(he) lentävät;(he) lensivät
(minä) ymmärrän;(minä) ymmärsin
(sinä) ymmärrät;(sinä) ymmärsit
