Finnish;English
kutsuja ja viestejä;invitations and messages (partitive pl.)
tuparit (tupaantuliaiset);housewarming party
kuten;as
tietää;to know
muuttaa;to move
olen muuttanut;I have moved
tupareihin;to the housewarming party
alkaen;starting from
jos;if
löytää;to find
kutsu;invitation
valitettavasti;unfortunately
päästä;to get
sama;same
auttaa;to help
muutto;move
mutta;but
joskus;sometime
myöhemmin;later

onnea;congratulations
valmistujaiset;graduation ceremony
valmistua;to graduate
diplomi-insinööri;master of science in engineering/technology

juhlia, juhlistaa;to celebrate
valmistuminen;graduation
ilmoittaa;to inform
tulo;arrival, coming
sähköpostitse;by email
viimeistään;at the latest
johdosta;~because of
osallistua;to participate
lähettää;to send
paketti;package
perheineen;with his/her family
