Finnish;English
kuule;look, listen
tehdä;to do
varmaan;probably
lukea;to read
tentti;exam
muuten;otherwise
lähdetkö kahville;to come to have a coffee
ilta;evening
mihin;where to
mennäänkö;shall we go
siihen;to that
uusi;new
kissakahvila;cat café
varata;to book
pöytä;table
mennään;let's go
käykö sulle;is it ok with you
vaikka;let's say
sopia;to be ok
hienoa;great
siis;so

olis(i);it would be
nähdä;to see
päästä;to make it
baletti;ballet
ylihuominen;day after tomorrow
silloin;then
tunti;hour, lesson
odottaa;to wait
voi harmi;what a pity
luona (genetiivi + luona);at someone's place
voi että;oh dear
mitäs jos;what if
soitella;to call
katsoa;to look, to check
uudestaan;again
palataan;let's get back
ensi;next

valitettavasti;unfortunately
Nähdäänkö ensi viikolla?;See you next week?
Mennäänkö huomenna elokuviin?;Shall we go to the cinema tomorrow?
Lähdetäänkö pizzalle?;Shall we go out for pizza?
Käykö sulle...?;Are you okay with...?
Joo, käy (hyvin).;Yeah, I'm (fine).
Valitettavasti se ei käy.;Unfortunately, I'm afraid that won't be possible.
Sopiiko sulle...?;Are you okay with...?
Joo, sopii (hyvin).;Yes, it's fine (fine).
Ikävä kyllä silloin ei sovi.;Unfortunately, then it's not.
Et ole kiinnostunut;You're not interested
Kerro miksi ja ehdota jotain muuta.;Tell me why and suggest something else.
