Finnish;English;hungarian
terveys;health;Egészség
sairaus;sickness;betegség
Parane pian!;Get well soon!;Jobbulást!
kipeä;sick, ache, sore;beteg
pää;head;fej
no voi että;oh dear;hát ez rendben van
särkylääke;painkiller;fájdalomcsillapító
ottaa, otin;to take, I took;venni, vettem
yhden tabletin (yksi tabletti);one pill;egy tabletta (egy tabletta)
toivottavasti;hopefully;remélhetőleg
auttaa;to help;Segítség
toivotaan;let's hope;Reméljük
lääkäri;doctor;orvos
luulla;to think;gondol
oire, oireita;symptom, symptoms (pl. partitive);tünet, tünetek
kurkku;throat;torok
korva;ear;fül
se ei auttanut ollenkaan;it didn't help at all;egyáltalán nem segített
tulehdus;infection;gyulladás
antibioottikuuri;course of antibiotics;antibiotikum kúra
sairasloma;sick leave;betegszabadság
ei oikeastaan;not really;nem igazán
kun, koska;because (spoken - standard);mert
aluksi;at first, at the beginning;Először
tarpeeksi;enough;elég
olo ei parane;you don't get well;nem érzi jobban magát
uudestaan;again, back;újra
