Finnish;English;hungarian
pää;head;fej
käsi;hand, arm;kéz
jalka;foot, leg;láb
selkä;back;vissza
maha, vatsa;stomach, belly;gyomor, gyomor
takapuoli;bottom;hátsó fél
olkapää;shoulder;váll
kyynärpää;elbow;könyök
niska;neck (back);nyak (hátulja)
kaula;neck (front);nyak (eleje)
rinta;chest, breast;mell
sormi, sormet;finger, fingers;ujj, ujjak
varvas, varpaat;toe, toes;lábujj, lábujjak
kasvot;face;arc
silmät;eyes;a szemek
korvat;ears;fülek
suu;mouth;száj
nenä;nose;orr
poski, posket;cheek, cheeks;pofa, pofa
kulmakarvat;eyebrows;szemöldök
otsa;forehead;homlok
leuka;chin, jaw;állkapocs
hiukset, tukka;hair;haj, sörény
polvi, polvet;knee, knees;térd, térd
nilkka, nilkat;ankle, ankles;boka, boka
kurkku;throat;torok
