Finnish;english;hungarian
joka on käynyt avannossa.;who has went to avanto.;aki ellátogatott a avantóra.
jonka lempiväri on vihreä.;whose favorite color is green.;akinek a kedvenc színe a zöld.
joka tykkää kesästä.;who likes summer.;aki szereti a nyarat.
joka asuu Mikontalossa.;who lives in Mikontalo.;aki Mikontaloban él.
jolla ei ole kahvinkeitintä.;who doesn't have a coffee maker.;akinek nincs kávéfőzője.
joka matkustaa usein ratikalla.;who often travels by tram.;aki gyakran utazik villamossal.
joka asuu kaksiossa.;who lives in a two-room apartment.;aki egy kétszobás lakásban lakik.
jolla on suomalainen kämppis.;who has a Finnish roommate.;akinek van egy finn lakótársa.
jolla on kissa.;who has a cat.;akinek macskája van.
joka tykkää siivota.;who likes to clean.;aki szeret takarítani.
joka lukee paljon.;who reads a lot.;aki sokat olvas.
joka puhuu suomea joka päivä.;who speaks Finnish every day.;aki mindennap beszél finnül.
joka ei asu Hervannassa.;who does not live in Hervanta.;aki nem Hervantán él.
joka harrastaa valokuvausta.;who is into photography.;aki a fotózással foglalkozik.
