Finnish;english;hungarian
kesä;summer;nyár
syksy;autumn;ősz
talvi;winter;tél
kevät;spring;tavasz

tammikuu;January;január
helmikuu;February;február
maaliskuu;March;március
huhtikuu;April;április
toukokuu;May;Május
kesäkuu;June;június
heinäkuu;July;július
elokuu;August;augusztus
syyskuu;September;szeptember
lokakuu;October;október
marraskuu;November;november
joulukuu;December;december

maanantai;monday;hétfő
tiistai;tuesday;kedd
keskiviikko;wednesday;szerda
torstai;thursday;csütörtök
perjantai;friday;péntek
lauantai;saturday;szombat
sunnuntai;sunday;vasárnap
