Finnish;english
Tänään on huhtikuun (5.) viides päivä.;Today is the 5th (fifth) day of April.
Tänään on (5.) viides huhtikuuta.;Today is the 5th (fifth) of April.
Tänään on viides neljättä (5.4.).;Today is Fifth Fourth (April 5).
Olen syntynyt joulukuun (13.) kolmastoista päivä.;I was born on the 13th day (thirteenth) of December.
Olen syntynyt joulukuun (13.) kolmantenatoista päivänä.;I was born on the day of the 13th (thirteenth) of December.
Olen syntynyt (13.) kolmastoista joulukuuta.;I was born 13th (thirteenth) of December.
Olen syntynyt kolmastoista kahdettatoista (13.12.).;I was born on the thirteenth of twelve (December 13).
Mikä (monesko) päivä tänään on?;What (plural) day is today?
Milloin sinä olet syntynyt?;When were you born?
Onko sulla nimipäivä? Milloin se on?;Do you have a name day? when is it?
Milloin sinä tulit Suomeen?;When did you come to Finland?
