Finnish;english;Finnish (passive);Finnish (negative passive)
puhua;talk;puhutaan;ei puhuta
kirjoittaa;write;kirjoitetaan;ei kirjoiteta
ymmärtää;understand;ymmärretään;ei ymmärretä
syödä;eat;syödään;ei syödä
imuroida;vacuum;imuroidaan;ei imuroida
mennä;go;mennään;ei mennä
opiskella;study;opiskellaan;ei opiskella
haluta;want;halutaan;ei haluta
herätä;wake up;herätään;ei herätä
tarvita;need;tarvitaan;ei tarvita
häiritä;disturb;häiritään;ei häiritä
tehdä;make;tehdään;ei tehdä
nähdä;see;nähdään;ei nähdä
olla;be;ollaan;ei olla
juosta;run;juostaan;ei juosta
saada;get;saadaan;ei saada
voida;can;voidaan;ei voida
ajatella;to think;ajatellaan;ei ajatella
päästä;to be released;päästään;ei päästä
vanheta;grow old;vanhetaan;ei vanheta
nukkua;to sleep;nukutaan;ei nukuta
leipoa;bake;leivotaan;ei leivota
ampua;shoot;ammutaan;ei ammuta
kuunnella;listen;kuunnellaan;ei kuunnella
jutella;chat;jutellaan;ei jutella
ommella;sew;ommellaan;ei ommella
tavata;meet;tavataan;ei tavata
pudota;drop;pudotaan;ei pudota
tarjeta;stand the cold;tarjetaan;ei tarjeta
lämmetä;warm;lämmetään;ei lämmetä
sanoa;say;sanotaan;ei sanota
kysyä;ask;kysytään;ei kysytä
tanssia;dance;tanssitaan;ei tanssita
lähteä;leave;lähdetään;ei lähdetä
ottaa;take;otetaan;ei oteta
rakastaa;love;rakastetaan;ei rakasteta
maksaa;pay;maksetaan;ei makseta
pitää;keep;pidetään;ei pidetä
