Finnish;Finnish (passive);english
opiskella fysiikkaa;Opiskellaan fysiikkaa;to study physics
syödä kotona;syödään kotona;eat at home
tilata pitsaa;Tilataan pitsaa;order a pizza
syödä Reaktorissa;Syödään Reaktorissa;eat at Reaktor
tutkia nanoteknologiaa;tutkitaan nanoteknologiaa;to study nanotechnology
oppia suomea;Opitaan suomea;learn Finnish
kirjoittaa väitöskirjaa;Kirjoitetaan väitöskirjaa;write a dissertation
laskea matematiikkaa;Lasketaan matematiikkaa;count math
nähdä ystäviä;Nähdään ystäviä;to see friends
lukea kirjastossa;Luetaan kirjastossa;read in the library
harjoitella tenttiin;Harjoitellaan tenttiin;practice for the exam
kävellä Suolijärven ympäri;Kävellään Suolijärven ympäri;walk around Suolijärvi
käydä lenkillä;Käydään lenkillä;go jogging
pelata videopelejä;Pelataan videopelejä;play video games
käydä elokuvissa;Käydään elokuvissa;go to the cinema
soittaa äidille ja isälle;Soitetaan äidille ja isälle;call mom and dad
siivota keittiö;Siivotaan keittiö;clean the kitchen
valmistua insinööriksi / arkkitehdiksi;Valmistutaan insinööriksi / arkkitehdiksi;to graduate as an engineer / architect
