Finnish;english;hungarian
Mikä sinulla on?;What's with you?;Mi van veled?
Mikä sinua vaivaa?;What's wrong with you?;Mi a baj veled?
Minulla on pää / korva / selkä / maha / hammas / jalka / käsi / niska kipeä.;I have a head / ear / back / stomach / tooth / leg / arm / neck pain.;Fáj a fejem / fülem / hátam / gyomrom / fogam / lábam / karom / nyakam.
Minun päätä / korvaa / selkää / hammasta / jalkaa / kättä / niskaa särkee.;My head / ear / back / tooth / leg / arm / neck ache.;Fáj a fejem / fülem / hátam / fogam / lábam / karom / nyakam.
Minulla on flunssa / nuha / yskä / kuumetta.;I have a cold / runny nose / cough / fever.;Megfáztam / náthám / köhögök / lázam van.
Minua yskittää / aivastuttaa.;I'm coughing / sneezing.;Köhögök/tüsszentek.
Minulla on mahatauti / ripuli / oksennustauti.;I have stomach/diarrhea/vomiting disease.;Gyomor/hasmenéses/hányásos betegségem van.
Minua oksettaa.;I'm sick.;Beteg vagyok.
Minulla on kuuma / kylmä / huono olo.;I feel hot / cold / bad.;Melegnek/hidegnek/rossznak érzem magam.
Minua palelee.;I am cold.;Fázom.
Minua huimaa / pyörryttää.;I feel dizzy / dizzy.;Szédülök/szédülök.
Minun käsi / jalka on murtunut.;My arm / leg is broken.;Eltört a karom/lábam.
Minulla on allergia / ihottuma(a).;I have an allergy / rash.;Allergiám/kiütésem van.
Minun silmät vuotavat. ;My eyes are watering.;A szemem könnyes.
Minun nenä vuotaa.;My nose is running.;Folyik az orrom.
aika;time;idő
lähete;covering;burkolat
lääkekuuri;medication regimen;gyógyszeres kezelési rend
oire;symptom;tünet
potilas;patient;beteg
pää;head;fej
tabletti;tablet;tabletta
tulehdus;inflammation;gyulladás
hoito;treatment, care, nursing;gondoskodás
ottaminen;taking;feltevés
röntgen;X-ray, roentgen;röntgen
hakea;to fetch, go and get, pick up;keresni
käydä kipeää;to hurt, cause pain;megbetegszik
sisään;in, inside, indoors;ban ben
allergia;allergy;allergia
apteekki;pharmacy, drug store;gyógyszertár
flunssa;flu, common cold;influenza
hammaslääkäri;dentist;fogorvos
iho;skin;bőr
ihottuma;rash, eczema;kiütés
kipeä;ill, sick, sore;beteg, fájdalom
korva;ear;fül
kurkku;throat;uborka
kuume;fever;láz
murtunut;broken;törött
niska;(back of the) neck;nyak
nuha;rhinitis, cold, head cold, runny nose;hideg a fejben
oksennus;vomit;hányás
resepti;recipe, prescription, receipt;recept
ripuli;diarrhea;hasmenés
rokotus;vaccination;oltás
selkä;back, spine;vissza
särky;ache, pain;fájdalom
tauti;disease, sickness;betegség
yskä;cough;köhögés
aivastuttaa;to make sneeze, feel sneezing;tüsszenteni
kutittaa;to tickle;viszket
särkeä;to ache, sour, to break;összetör
varata;to book, reserve, allocate, to charge;könyv
vuotaa;to leak, trickle, flow;szivárog
yskittää;to make to cough;köhögni
