Finnish;Finnish (monikon partitiivi);hungarian
talo;taloja;ház
katu;katuja;utca
pallo;palloja;labda
helppo;helppoja;könnyen
tyttö;tyttöjä;lány
hylly;hyllyjä;polc
aamu;aamuja;reggel
sato;satoja;aratás
kynä;kyniä;toll
isä;isiä;apa
leipä;leipiä;kenyér
pöytä;pöytiä;táblázat
metsä;metsiä;erdő
kesä;kesiä;nyári
kylmä;kylmiä;hideg
ystävä;ystäviä;barátja
sana;sanoja;szó
kala;kaloja;hal
teema;teemoja;téma
kirja;kirjoja;könyv
hinta;hintoja;ár
kissa;kissoja;macska
marja;marjoja;bogyó
herra;herroja;úr
koira;koiria;kutya
tukka;tukkia;haj
loma;lomia;ünnep
kukka;kukkia;virág
muna;munia;tojás
oja;ojia;gát
tiimi;tiimejä;csapat
posti;posteja;postai
tili;tilejä;fiókot
pankki;pankkeja;bank
maali;maaleja;festék
tyyli;tyylejä;stílus
ovi;ovia;ajtó
kivi;kiviä;kő
sormi;sormia;ujj
järvi;järviä;tó
uusi;uusia;új
käsi;käsiä;kéz
meri;meriä;tenger
sieni;sieniä;gomba
tuli;tulia;Tűz
kieli;kieliä;nyelv
vuosi;vuosia;év
reisi;reisiä;comb
huone;huoneita;szoba
kappale;kappaleita;bekezdés
lentokone;lentokoneita;repülőgép
parveke;parvekkeita;erkély
tuote;tuotteita;termék
perhe;perheitä;család
kirje;kirjeitä;levél
taide;taiteita;művészet
lahje;lahkeita;láb
koe;kokeita;teszt
nainen;naisia;nő
suomalainen;suomalaisia;finn
iloinen;iloisia;vidám
sininen;sinisiä;kék
hevonen;hevosia;ló
eteinen;eteisiä;előszoba
ihminen;ihmisiä;férfi
tavallinen;tavallisia;szokásos
maa;maita;ország
DVD;DVD:itä;DVD
kuu;kuita;Hold
vapaa;vapaita;ingyenes
vihreä;vihreitä;zöld
korkea;korkeita;magas
sää;säitä;időjárás
suu;suita;száj
harmaa;harmaita;szürke
jää;jäitä;jég
pimeä;pimeitä;sötét
leveä;leveitä;széles
tie;teitä;út
suo;soita;eláraszt
vyö;vöitä;öv
yö;öitä;éjszaka
televisio;televisioita;tv
radio;radioita;rádió
keittiö;keittiöitä;konyha
museo;museoita;múzeum
stereo;stereoita;sztereó
video;videoita;videó
keskus;keskuksia;központi
uutuus;uutuuksia;újdonság
kallis;kalliita;drága
valmis;valmiita;kész
kasvis;kasviksia;növényi
fiilis;fiiliksiä;vibrafon
hammas;hampaita;fog
saapas;saappaita;csomagtartó
ananas;ananaksia;ananász
kysymys;kysymyksiä;kérdés
vastaus;vastauksia;válasz
kaunis;kauniita;gyönyörű
ruumis;ruumiita;hulla
kirppis;kirppiksiä;bolha
julkkis;julkkiksia;híresség
varas;varkaita;tolvaj
tehdas;tehtaita;gyár
lihas;lihaksia;izom
työtön;työttömiä;munkanélküli
rasvaton;rasvattomia;nem zsíros
koditon;kodittomia;hajléktalan
järjetön;järjettömiä;bolond
kuningatar;kuningattaria;királynő
ystävätär;ystävättäriä;hölgy barát
papitar;papittaria;papnő
kaunotar;kaunottaria;szépség
puhelin;puhelimia;telefon
puhallin;puhaltimia;ventilátor
kahvinkeitin;kahvinkeittimiä;kávéfőző
kiharrin;kihartimia;sütővas
olut;oluita;sör
kevyt;kevyitä;fény
lyhyt;lyhyitä;rövid
väsynyt;väsyneitä;fáradt
tottunut;tottuneita;hozzászokott
kuollut;kuolleita;halott
mansikka;mansikoita;eper
lääkäri;lääkäreitä;orvos
ravintola;ravintoloita;étterem
palvelu;palveluita;szolgáltatás
insinööri;insinöörejä;mérnök
asema;asemia;állomás
ohjelma;ohjelmia;program
opettaja;opettajia;tanár
puku;pukuja;öltöny
hattu;hattuja;kalap
silta;siltoja;híd
kauppa;kauppoja;kereskedelmi
kampa;kampoja;fésű
savuke;savukkeita;cigaretta
soitin;soittimia;játékos
rakas;rakkaita;szeretet
keitin;keittimiä;tűzhely
tavoite;tavoitteita;cél
opas;oppaita;útmutató
