Finnish;English;Hungarian
Lyhennetty (lyhentää);Abbreviated;Rövidített
Uutinen (uutinen);News;Hír
Julkaistu (julkaista);Published;Kiadott
Suomalaiset (suomalainen);Finns (Finnish people);Finnek
Kirjastossa (kirjasto);In the library;A könyvtárban
Ahkerasti (ahkerasti);Diligently, frequently;Szorgalmasan, gyakran
Lainata (lainata);To borrow, to lend;Kölcsönözni
Tehdä (tehdä);To do;Csinálni
Paljon (paljon);A lot, much;Sok
Ryhmä (ryhmä);Group;Csoport
Kuvasi (kuvata);Filmed, recorded;Felvett, videózott
Erilaisia (erilainen);Different (plural);Különböző
Aineistoja (aineisto);Materials, resources (plural);Anyagok, források
Esimerkiksi (esimerkiksi);For example;Például
Elokuvia (elokuva);Movies, films (plural);Filmek
Liikuntavälineitä (liikuntaväline);Sports equipment (plural);Sporteszközök
Porakoneita (porakone);Drills (plural);Fúrógépek
Asiakas (asiakas);Customer, client;Ügyfél
Tarvitsee (tarvita);Needs;Szüksége van
Ilmaiseksi (ilmainen);For free;Ingyen
Passi (passi);Passport;Útlevél
Henkilöllisyystodistus (henkilöllisyystodistus);Identity card, identification;Személyi igazolvány
Opiskella (opiskella);To study;Tanulni
Lehtiä (lehti);Newspapers, magazines (plural);Újságok
Järjestetään (järjestää);Are organized;Szervezik
Tapahtumia (tapahtuma);Events (plural);Események
Vierailuita (vierailu);Visits (plural);Látogatások
Kielikahviloita (kielikahvila);Language cafés (plural);Nyelvi kávézók
Opetellaan (opetella);Is learned, practiced;Tanulják, gyakorolják
Jäseniä (jäsen);Members (plural);Tagok
Rauhallisen (rauhallinen);Peaceful, quiet;Nyugodt
Paikan (paikka);Place;Hely
Kokouksia (kokous);Meetings (plural);Találkozók
Hyödyntää (hyödyntää);To utilize, to take advantage of;Használni, kihasználni
Äänistudiota (äänistudio);Sound studio;Hangstúdió
Nauhoitimme (nauhoittaa);We recorded;Felvettük
Kannatuslaulun (kannatuslaulu);Supporter's song;Támogató dalt
Jalkapalloilija (jalkapalloilija);Football player;Labdarúgó
Sarjakuvia (sarjakuva);Comic books (plural);Képregények
Konsolipelejä (konsolipeli);Console games (plural);Konzoljátékok
Hyödyllinen (hyödyllinen);Useful;Hasznos
Kiva (kiva);Nice, pleasant;Kellemes, jó
Hakukenttään (hakukenttä);Into the search field;A keresőmezőbe
