Finnish (Preesens);Finnish (Imperfekti);English
sanon;sanoin;I said
säilön;säilöin;I preserved
puhut;puhuit;you spoke
kysyy;kysyi;s/he asked

pidän;pidin;I liked
luen;luin;I read
lukee;luki;s/he read
tarvitset;tarvitsit;you needed
etsin;etsin;I searched
etsii;etsi;s/he searched
uit;uit;you swam
ui;ui;s/he swam

ostan;ostin;I bought
muistat;muistit;you remembered
rakastamme;rakastimme;we loved

maksan;maksoin;I paid
annat;annoit;you gave
laulaa;lauloi;s/he sang

saan;sain;I got
myyt;myit;you sold
jäämme;jäimme;we stayed
syön;söin;I ate
juon;join;I drank
viet;veit;you took

käyn;kävin;I went/visited

avaan;avasin;I opened
tapaan;tapasin;I met
herään;heräsin;you woke up

tiedän;tiesin;I knew
lentävät;lensivät;they flew
tunnet;tunsit;you felt
ymmärrän;ymmärsin;I understood

huudan;huusin;I shout
löydän;löysin;I find
käännän;käänsin;I turn/translate
työnnän;työnsin;I push
piirrän;piirsin;I draw
siirrän;siirsin;I move/transfer

