Finnish (present);Finnish (imperfekti);Finnish (basic) 
(minä) sanon;(minä) sanoin;(minä) sanoa
(sinä) sanot;(sinä) sanoit;(sinä) sanoa
(hän) sanoo;(hän) sanoi;(hän) sanoa
(me) sanomme;(me) sanoimme;(me) sanoa
(te) sanotte;(te) sanoitte;(te) sanoa
(he) sanovat;(he) sanoivat;(he) sanoa
(minä) nukun;(minä) nukuin;(minä) nukkua
(sinä) nukut;(sinä) nukuit;(sinä) nukkua
(hän) nukkuu;(hän) nukkui;(hän) nukkua
(me) nukumme;(me) nukuimme;(me) nukkua
(te) nukutte;(te) nukuitte;(te) nukkua
(he) nukkuvat;(he) nukkuivat;(he) nukkua
(minä) seison;(minä) seisoin;(minä) seisoa
(sinä) seisot;(sinä) seisoit;(sinä) seisoa
(hän) seisoo;(hän) seisoi;(hän) seisoa
(me) seisomme;(me) seisoimme;(me) seisoa
(te) seisotte;(te) seisoitte;(te) seisoa
(he) seisovat;(he) seisoivat;(he) seisoa
(minä) kysyn;(minä) kysyin;(minä) kysyä
(sinä) kysyt;(sinä) kysyit;(sinä) kysyä
(hän) kysyy;(hän) kysyi;(hän) kysyä
(me) kysymme;(me) kysyimme;(me) kysyä
(te) kysytte;(te) kysyitte;(te) kysyä
(he) kysyvät;(he) kysyivät;(he) kysyä
(minä) säästän;(minä) säästin;(minä) säästää
(sinä) säästät;(sinä) säästit;(sinä) säästää
(hän) säästää;(hän) säästi;(hän) säästää
(me) säästämme;(me) säästimme;(me) säästää
(te) säästätte;(te) säästitte;(te) säästää
(he) säästävät;(he) säästivät;(he) säästää
(minä) itken;(minä) itkin;(minä) itkeä
(sinä) itket;(sinä) itkit;(sinä) itkeä
(hän) itkee;(hän) itki;(hän) itkeä
(me) itkemme;(me) itkimme;(me) itkeä
(te) itkette;(te) itkitte;(te) itkeä
(he) itkevät;(he) itkivät;(he) itkeä
(minä) tanssin;(minä) tanssin;(minä) tanssia
(sinä) tanssit;(sinä) tanssit;(sinä) tanssia
(hän) tanssii;(hän) tanssi;(hän) tanssia
(me) tanssimme;(me) tanssimme;(me) tanssia
(te) tanssitte;(te) tanssitte;(te) tanssia
(he) tanssivat;(he) tanssivat;(he) tanssia
(minä) etsin;(minä) etsin;(minä) etsiä
(sinä) etsit;(sinä) etsit;(sinä) etsiä
(hän) etsii;(hän) etsi;(hän) etsiä
(me) etsimme;(me) etsimme;(me) etsiä
(te) etsitte;(te) etsitte;(te) etsiä
(he) etsivät;(he) etsivät;(he) etsiä
(minä) maksan;(minä) maksoin;(minä) maksaa
(sinä) maksat;(sinä) maksoit;(sinä) maksaa
(hän) maksaa;(hän) maksoi;(hän) maksaa
(me) maksamme;(me) maksoimme;(me) maksaa
(te) maksatte;(te) maksoitte;(te) maksaa
(he) maksavat;(he) maksoivat;(he) maksaa
(minä) annan;(minä) annoin;(minä) antaa
(sinä) annat;(sinä) annoit;(sinä) antaa
(hän) antaa;(hän) antoi;(hän) antaa
(me) annamme;(me) annoimme;(me) antaa
(te) annatte;(te) annoitte;(te) antaa
(he) antavat;(he) antoivat;(he) antaa
(minä) laulan;(minä) lauloin;(minä) laulaa
(sinä) laulat;(sinä) lauloit;(sinä) laulaa
(hän) laulaa;(hän) lauloi;(hän) laulaa
(me) laulamme;(me) lauloimme;(me) laulaa
(te) laulatte;(te) lauloitte;(te) laulaa
(he) laulavat;(he) lauloivat;(he) laulaa
(minä) ajan;(minä) ajoin;(minä) ajaa
(sinä) ajat;(sinä) ajoit;(sinä) ajaa
(hän) ajaa;(hän) ajoi;(hän) ajaa
(me) ajamme;(me) ajoimme;(me) ajaa
(te) ajatte;(te) ajoitte;(te) ajaa
(he) ajavat;(he) ajoivat;(he) ajaa
(minä) ostan;(minä) ostin;(minä) ostaa
(sinä) ostat;(sinä) ostit;(sinä) ostaa
(hän) ostaa;(hän) osti;(hän) ostaa
(me) ostamme;(me) ostimme;(me) ostaa
(te) ostatte;(te) ostitte;(te) ostaa
(he) ostavat;(he) ostivat;(he) ostaa
(minä) rakastan;(minä) rakastin;(minä) rakastaa
(sinä) rakastat;(sinä) rakastit;(sinä) rakastaa
(hän) rakastaa;(hän) rakasti;(hän) rakastaa
(me) rakastamme;(me) rakastimme;(me) rakastaa
(te) rakastatte;(te) rakastitte;(te) rakastaa
(he) rakastavat;(he) rakastivat;(he) rakastaa
(minä) muistan;(minä) muistin;(minä) muistaa
(sinä) muistat;(sinä) muistit;(sinä) muistaa
(hän) muistaa;(hän) muisti;(hän) muistaa
(me) muistamme;(me) muistimme;(me) muistaa
(te) muistatte;(te) muistitte;(te) muistaa
(he) muistavat;(he) muistivat;(he) muistaa
(minä) odotan;(minä) odotin;(minä) odottaa
(sinä) odotat;(sinä) odotit;(sinä) odottaa
(hän) odottaa;(hän) odotti;(hän) odottaa
(me) odotamme;(me) odotimme;(me) odottaa
(te) odotatte;(te) odotitte;(te) odottaa
