Finnish;Finnish (passive imperfect);Finnish (negative passive imperfect)
sanoa;sanottiin;ei sanottu
nukkua;nukuttiin;ei nukuttu
lähteä;lähdettiin;ei lähdetty
ottaa;otettiin;ei otettu
rakastaa;rakastettiin;ei rakastettu
maksaa;maksettiin;ei maksettu
säästää;säästettiin;ei säästetty
pyytää;pyydettiin;ei pyydetty
saada;saatiin;ei saatu
myydä;myytiin;ei myyty
ajatella;ajateltiin;ei ajateltu
päästä;päästiin;ei päästy
mennä;mentiin;ei menty
surra;surtiin;ei surtu
tehdä;tehtiin;ei tehty
imuroida;imuroitiin;ei imuroitu
ommella;ommeltiin;ei ommeltu
pestä;pestiin;ei pesty
panna;pantiin;ei pantu
purra;purtiin;ei purtu
haluta;haluttiin;ei haluttu
tavata;tavattiin;ei tavattu
tarvita;tarvittiin;ei tarvittu
valita;valittiin;ei valittu
vanheta;vanhettiin;ei vanhettu
paeta;paettiin;ei paettu
siivota;siivottiin;ei siivottu
maata;maattiin;ei maattu
pelätä;pelättiin;ei pelätty
häiritä;häirittiin;ei häiritty
hallita;hallittiin;ei hallittu
nuoreta;nuorettiin;ei nuorettu
kuunnella;kuunneltiin;ei kuunneltu
tarjeta;tarjettiin;ei tarjettu
leipoa;leivottiin;ei leivottu
jutella;juteltiin;ei juteltu
lämmetä;lämmettiin;ei lämmetty
ampua;ammuttiin;ei ammuttu
pudota;pudottiin;ei pudottu

puhun;puhuttiin;ei puhuttu
luen;luettiin;ei luettu
laulan;laulettiin;ei laulettu
ymmärrän;ymmärrettiin;ei ymmärretty
syödä;syötiin;ei syöty
olla;oltiin;ei oltu
tykätä;tykättiin;ei tykätty
