Finnish;Finnish (Konditionaali)
minä + Nukkua;nukkuisin
sinä + Leipoa;leipoisit
hän + Ajaa;ajaisi
minä + Itkeä;itkisin
sinä + Lukea;lukisit
minä + Syödä;söisin
sinä + Tuoda;toisit
hän + Imuroida;imuroisi
minä + Opiskella;opiskelisin
sinä + Nousta;nousisit
minä + Tavata;tapaisin
sinä + Pelätä;pelkäisit
sinä + Siivota;siivoaisit
minä + Haluta;haluaisin
minä + Tarvita;tarvitsisin
sinä + Valita;valitsisit
hän + Nukkua;nukkuisi
me + Leipoa;leipoisimme
he + Ajaa;ajaisivat
me + Itkeä;itkisimme
te + Lukea;lukisitte
hän + Syödä;söisi
me + Tuoda;toisimme
he + Imuroida;imuroisivat
hän + Opiskella;opiskelisi
me + Nousta;nousisimme
hän + Tavata;tapaisi
me + Pelätä;pelkäisimme
me + Siivota;siivoaisimme
te + Haluta;haluaisitte
sinä + Tarvita;tarvitsisit
me + Valita;valitsisimme

minä + lukea;lukisin
minä + uida;uisin
minä + saada;saisin
minä + herätä;heräisin
minä + juoda;joisin
minä + syödä;söisin
minä + viedä;veisin

minä + olla;olisin
sinä + olla;olisit
hän + olla;olis(i)
me + olla;olisimme / oltais(iin)
te + olla;olisitte
he + olla;olisivat

minä + käydä;kävisin
sinä + käydä;kävisit
hän + käydä;kävis(i)
me + käydä;kävisimme / käytäis(iin)
te + käydä;kävisitte
he + käydä;kävisivät
