Finnish;English
diplomityö (dippatyö) / (pro) gradu;master's thesis
diplomi-insinööri;Master of Science
filosofian maisteri;Master of Arts
kauppatieteiden maisteri;Master of Science (Economics and Business Administration)
yhteiskuntatieteiden maisteri;Master of Social Sciences
Mun täytyy saada gradu valmiiksi viimeistään toukokuun lopussa.;I need to finish my thesis by the end of May at the latest.
Minusta tulee ensi vuonna diplomi-insinööri.;Next year I will become a graduate engineer.
Mulla on huomenna tentti, ja nyt mun täytyy opiskella.;I have an exam tomorrow, and now I have to study.
Montako opintopistettä sä olet tehnyt tänä syksynä?;How many credits have you done this autumn?
essee;essay
fuksi;first year student (spoken language)
jatkotutkinto;graduate degree
kandi;bachelor thesis
kandidaattitutkinto;bachelor's degree
kirjatentti;book-based exam
luennoitsija;lecturer
luento;lecture
luentosali;lecture hall
maisteritutkinto;master's degree
opintolaina;student loan
opintopiste;credit
opiskelija-asunto;student apartment
opiskelija-asuntola;student housing
opiskelijakortti;student card
pakollinen kurssi;obligatory course
pääaine;major
pääsykoe;entrance exam
seminaari;seminar
sivuaine;minor
tentti;exam
tiedekunta;faculty
tutkielma;term paper
tutkinto;degree
yliopistotutkinto;university degree
vaihto-opiskelija;exchange student
valinnainen kurssi;optional course
väitellä;to defend your thesis
väitöskirja;dissertation
